source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmdec,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_g_n_obs,phot_g_mean_flux_over_error,phot_rp_n_obs,phot_rp_mean_flux_over_error,phot_bp_n_obs,phot_bp_mean_flux_over_error,phot_rp_mean_mag,ph_qual,tmass_oid,j_m,h_m,ks_m,j_ks_0,J-H,astrometric_sigma5d_max,astrometric_excess_noise,visibility_periods_used,ruwe,astrometric_gof_al,ipd_gof_harmonic_amplitude,ipd_frac_odd_win,ipd_frac_multi_peak,matched_transits_removed,astrometric_params_solved,astrometric_excess_noise_sig,phot_variable_flag,skiff_type,ra_skiff,dec_skiff,GroupSize_skiff,Sep_skiff,numeric_sp,std_sp,skiff_type_list,j_m-h_m,j_m-ks_m,j_m-phot_g_mean_mag,j_m-phot_bp_mean_mag,j_m-phot_rp_mean_mag,h_m-ks_m,h_m-phot_g_mean_mag,h_m-phot_bp_mean_mag,h_m-phot_rp_mean_mag,ks_m-phot_g_mean_mag,ks_m-phot_bp_mean_mag,ks_m-phot_rp_mean_mag,phot_g_mean_mag-phot_bp_mean_mag,phot_g_mean_mag-phot_rp_mean_mag,phot_bp_mean_mag-phot_rp_mean_mag,bp_rp,B2,B2_cut_split,B2_cut_probability
194166159964132352,80.99335144646123,40.91100229655791,0.017015377,0.012003031,0.240221603533419,0.018701818,12.844825999999998,-0.0377410635943671,-0.0801790506792579,0.01992514,0.014889682,11.804414,12.000462,244,4495.8223,31,1850.869,30,1624.0256,11.449843,AAA,407806665,11.089,10.999,10.984,-0.1001034999999994,0.0899999999999998,0.027889669,0.102824464,16,1.1023675,2.2000080000000004,0.056799598,0,0,0,31,13.302722999999986,NOT_AVAILABLE,OB,05 23 58.40,+40 54 39.6,,0.0499676579933503,,,,0.0899999999999998,0.1050000000000004,-0.7154139999999991,-0.9114620000000002,-0.3608429999999991,0.0150000000000005,-0.805413999999999,-1.001462,-0.450842999999999,-0.8204139999999995,-1.0164620000000006,-0.4658429999999995,-0.1960480000000011,0.3545709999999999,0.5506190000000011,0.5506190000000011,,,0.684
4067518953423901568,269.7739965650199,-24.43510129906096,0.015130855,0.012172964,0.336776452487076,0.016080685,20.942917,0.3735422296396398,-2.0962969499835373,0.021139095,0.014082098,11.613145,12.098498,234,1456.8356,23,559.4793,23,426.85046,10.941665,AAA,204469333,10.034,9.755,9.545,-0.028036249999999,0.2789999999999999,0.029272825,0.07636486,15,0.8816537,-2.594035,0.03017233,0,0,0,31,5.245076699999999,VARIABLE,OB,17 59 05.76,-24 26 06.4,,0.037074127250084,,,,0.2789999999999999,0.4890000000000006,-1.579144999999999,-2.0644979999999986,-0.9076649999999996,0.2100000000000008,-1.8581449999999984,-2.3434979999999985,-1.1866649999999996,-2.0681449999999995,-2.5534979999999994,-1.3966650000000005,-0.485353,0.671479999999999,1.156832999999999,1.156832999999999,,,0.756
458308955066917120,35.29832462268809,56.853907391814175,0.013860142,0.01649674,0.3884119938553985,0.02516646,15.433717,-0.6325405202859913,-1.3371861416280286,0.018662611,0.02212501,9.435495,9.498022,461,1537.7439,51,422.61105,51,377.4556,9.1745825,AAA,444634575,8.993,8.977,8.978,-0.0993737499999993,0.016,0.031532057,0.1751248,19,1.3873817,10.790339,0.056928836,0,40,2,31,45.67371,VARIABLE,OB,02 21 11.59,+56 51 14.1,2.0,0.0729590474887469,,,,0.016,0.0150000000000005,-0.4424949999999992,-0.5050220000000003,-0.1815824999999993,-0.0009999999999994,-0.4584949999999992,-0.5210220000000003,-0.1975824999999993,-0.4574949999999997,-0.5200220000000009,-0.1965824999999998,-0.0625270000000011,0.2609124999999999,0.323439500000001,0.323439500000001,,,0.886
5595974054607798912,121.583076712572,-31.222673629994183,0.010977761,0.013717365,0.1938360285001742,0.0169721429999999,11.420835,-2.3560016737053173,3.311335150706636,0.0151050379999999,0.017765863,11.446705,11.568947,475,2985.117,53,3447.684,54,2127.2576,11.207385,AAA,173942626,10.952,10.916,10.899,-0.0839262499999993,0.0359999999999995,0.02477924,0.15236418,28,1.0365447,1.1273061000000002,0.0176051199999999,0,0,0,31,43.06348,NOT_AVAILABLE,OB-,08 06 19.94,-31 13 21.7,,0.0776547093324772,,,,0.0359999999999995,0.0530000000000008,-0.4947049999999997,-0.6169469999999997,-0.2553850000000004,0.0170000000000012,-0.5307049999999993,-0.6529469999999993,-0.291385,-0.5477050000000006,-0.6699470000000005,-0.3083850000000012,-0.1222419999999999,0.2393199999999993,0.3615619999999993,0.3615619999999993,,,0.696
459855418175704192,45.367249098983,56.75143732520888,0.01013892,0.011660984,0.3444922922650136,0.014835917,23.220154,0.6468319269654113,-1.2634330779780387,0.013675742,0.016155427,10.80697,11.52253,362,2471.8118,40,1796.379,39,1035.0251,9.964328,AAA,444408017,8.832,8.537,8.344,-0.1277424999999987,0.2949999999999999,0.024391782,0.086860195,20,1.0442805,1.1702528,0.008340475,0,0,1,31,10.114962999999989,NOT_AVAILABLE,OB+,03 01 28.12,+56 45 05.2,,0.1647094593304087,,,,0.2949999999999999,0.4880000000000013,-1.974969999999999,-2.690529999999999,-1.1323279999999991,0.1930000000000014,-2.269969999999999,-2.985529999999999,-1.4273279999999997,-2.4629700000000003,-3.1785300000000003,-1.6203280000000009,-0.71556,0.8426419999999997,1.5582019999999996,1.5582019999999996,,,0.906
1824456310168773888,294.8090021426457,18.68379512099656,0.022119451,0.025003253,0.8366439384270022,0.036626834,22.842377,0.3670751943892543,-5.296950164080645,0.03423395,0.033716675,7.4351196,7.524719,453,3568.6194,49,1841.4366,50,1463.4989,7.220131,AAA,348842245,7.014,7.02,7.048,-0.1307798999999998,-0.0059999999999993,0.05154399,0.2924112,22,1.2960114,8.523164,0.0056150192,0,1,4,31,70.11904000000001,NOT_AVAILABLE,OB-,19 39 14.16,+18 41 01.8,,0.137758339883465,,,,-0.0059999999999993,-0.0339999999999998,-0.4211195999999999,-0.5107189999999999,-0.206131,-0.0280000000000004,-0.4151196000000006,-0.5047190000000006,-0.2001310000000007,-0.3871196000000001,-0.4767190000000001,-0.1721310000000002,-0.0895994,0.2149885999999998,0.3045879999999998,0.3045879999999998,,,0.81
457640417645156608,36.33496529125425,56.85384548561041,0.008948381,0.011037569,0.4179233488537825,0.016644673,25.108534,-0.6640800973065564,-1.177446778229413,0.0116544149999999,0.013898256,9.534845,9.700606,515,4240.143,59,3560.6846,58,1767.5115,9.217314,AAA,444634424,8.872,8.871,8.805,-0.11546125,0.0009999999999994,0.02019362,0.090586364,20,0.908495,-2.8161235,0.033492357,0,0,5,31,13.515266999999994,NOT_AVAILABLE,OB-,02 25 20.39,+56 51 13.9,,0.0578951123989217,,,,0.0009999999999994,0.0670000000000001,-0.6628450000000008,-0.8286060000000006,-0.3453140000000001,0.0660000000000007,-0.6638450000000002,-0.8296060000000001,-0.3463139999999995,-0.729845000000001,-0.8956060000000008,-0.4123140000000003,-0.1657609999999998,0.3175310000000007,0.4832920000000005,0.4832920000000005,,,0.942
3047026172623085312,109.19260678927937,-10.77039310981305,0.016425498,0.015720755,0.2771164521761025,0.020906625,13.254959,-0.951396482531868,1.5753706454906515,0.019577032,0.0180845,11.524103,11.787581,460,2688.6248,59,1601.7355,58,1636.8792,11.08017,AAA,257580079,10.618,10.485,10.447,-0.0982757499999991,0.1330000000000009,0.030204875,0.18500754,19,1.3962258,11.711854,0.034429956,0,0,1,31,64.01873,NOT_AVAILABLE,OB-,07 16 46.23,-10 46 13.4,,0.0661720179795754,,,,0.1330000000000009,0.1710000000000011,-0.906103,-1.169580999999999,-0.4621700000000004,0.0380000000000002,-1.0391030000000008,-1.302581,-0.5951700000000013,-1.077103000000001,-1.3405810000000002,-0.6331700000000016,-0.2634779999999992,0.4439329999999994,0.7074109999999987,0.7074109999999987,,,0.726
458342112224888064,34.58622334410607,56.88714298885326,0.011163451,0.013587548,0.4907673728283828,0.019472647,25.20291,-0.4906019449340566,-1.2002607927208386,0.014339094,0.016960088,10.065154,10.145851,470,3323.4072,54,2372.9678,54,1320.1353,9.876436,AAA,444707660,9.721,9.706,9.742,-0.1017885000000005,0.0150000000000005,0.0239582,0.14196387,21,1.0250849,0.7618985000000009,0.039835718,0,0,1,31,32.574355999999995,NOT_AVAILABLE,OB-,02 18 20.69,+56 53 13.8,,0.0902073114722822,,,,0.0150000000000005,-0.0210000000000007,-0.3441539999999996,-0.4248510000000003,-0.1554359999999999,-0.0360000000000013,-0.3591540000000002,-0.4398510000000009,-0.1704360000000004,-0.3231539999999988,-0.4038509999999995,-0.1344359999999991,-0.0806970000000006,0.1887179999999997,0.2694150000000004,0.2694150000000004,,,0.69
459877099170221952,44.73389876264912,56.77922977752121,0.012857444,0.014652932,0.3427407609118564,0.018997746,18.041128,0.3048508888452228,-0.9215823881591524,0.016924808,0.01933757,11.363391,11.817094,387,2279.049,41,1193.3889,44,899.89966,10.730375,AAA,444468845,9.987,9.846,9.713,-0.1385977499999993,0.141,0.028316056,0.14877729,19,1.2152545,5.5490227,0.0035225779999999,0,0,3,31,38.730095000000006,NOT_AVAILABLE,OB,02 58 56.13,+56 46 45.4,,0.1790439116757325,,,,0.141,0.2740000000000009,-1.376391,-1.8300940000000008,-0.7433750000000003,0.1330000000000009,-1.517391,-1.9710940000000008,-0.8843750000000004,-1.6503910000000008,-2.1040940000000017,-1.0173750000000013,-0.4537030000000008,0.6330159999999996,1.0867190000000004,1.0867190000000004,,,0.786
3377550981519271936,94.98683418886944,23.73927588618139,0.01856756,0.017314859,0.512303830398339,0.023158906,22.121244,0.6263614511457876,-1.3644509216419762,0.02006723,0.015397433,9.803721,9.961726,217,2776.6887,23,2317.7417,26,1160.8693,9.498822,AAA,363139260,9.2,9.135,9.108,-0.0819302500000009,0.0649999999999995,0.027937885,0.11868639,15,1.2183677,4.4699535,0.08605507,0,0,1,31,16.782520000000005,NOT_AVAILABLE,OB-,06 19 56.84,+23 44 21.4,,0.0073702958550732,,,,0.0649999999999995,0.0919999999999987,-0.6037210000000002,-0.7617260000000012,-0.2988220000000012,0.0269999999999992,-0.6687209999999997,-0.8267260000000007,-0.3638220000000007,-0.6957209999999989,-0.853726,-0.390822,-0.158005000000001,0.3048989999999989,0.462904,0.462904,,,0.816
5932565900081831040,242.83526242559228,-54.35413510060747,0.014725493,0.010660581,0.4591116031656824,0.020244818,22.67798,-1.8962421471645847,-3.847843565751848,0.02268094,0.018518861,8.623737,9.117518,658,313.5187,72,125.27071,73,82.28177,7.9469566,AAA,73819523,7.004,6.7,6.544,-0.0599342500000001,0.3039999999999994,0.03190326,0.1234871099999999,22,1.0317485,1.1433557000000008,0.012852475,0,0,2,31,11.731929000000008,VARIABLE,K0,16 11 20.47,-54 21 14.8,4.0,0.1059335914650416,,,,0.3039999999999994,0.4599999999999999,-1.6197370000000006,-2.113518000000001,-0.9429566000000004,0.1560000000000005,-1.923737,-2.4175180000000003,-1.2469566,-2.0797370000000006,-2.573518000000001,-1.4029566000000004,-0.4937810000000002,0.6767804000000002,1.1705614000000004,1.1705614000000004,,,0.698
4152488219896302976,276.4242691922025,-13.456377188193969,0.012295419,0.01088805,0.5094371038295149,0.013570096,37.541157,0.6593549536337773,0.0564742891298206,0.014399379,0.01203661,10.750781,11.50467,229,2016.7128,24,849.779,24,692.26776,9.884374,AAA,248085534,8.721,8.351,8.187,-0.1069452499999994,0.3699999999999992,0.02115372,0.033386547,17,0.96097994,-0.8056259000000008,0.002717278,0,0,0,31,1.131387999999987,NOT_AVAILABLE,OB,18 25 41.83,-13 27 23.0,2.0,0.0892521043947416,,,,0.3699999999999992,0.5340000000000007,-2.029781,-2.7836700000000008,-1.1633739999999992,0.1640000000000014,-2.399780999999999,-3.15367,-1.5333739999999985,-2.5637810000000005,-3.317670000000001,-1.697374,-0.7538890000000009,0.8664070000000006,1.6202960000000015,1.6202960000000015,,,0.826
5548220031226816000,123.37759504251008,-31.212175260548143,0.0105567435,0.0144245215,0.2290832617353096,0.017616238,13.004096,-3.52581795690823,3.545940346058754,0.014861926,0.018058196,10.8341055,10.871555,506,4104.598,58,3740.5923,57,1983.4271,10.724225,AAA,173990376,10.62,10.66,10.673,-0.0932763750000007,-0.0400000000000009,0.025470339,0.15732107,28,1.040115,1.2887093000000007,0.026286231,0,0,0,31,44.33874499999999,NOT_AVAILABLE,OB-,08 13 30.63,-31 12 43.9,,0.1152264970771361,,,,-0.0400000000000009,-0.0530000000000008,-0.2141055000000004,-0.2515550000000015,-0.1042250000000013,-0.0129999999999999,-0.1741054999999995,-0.2115550000000006,-0.0642250000000004,-0.1611054999999996,-0.1985550000000008,-0.0512250000000005,-0.037449500000001,0.1098804999999991,0.1473300000000001,0.1473300000000001,,,0.606
2055849494261131648,303.41617172785897,35.01507528701351,0.012976178,0.016873954,0.3923243675944163,0.018720828,20.956572,-1.3564877676631526,-5.233650538369613,0.018381927,0.023434542,11.312848,11.741282,485,2072.9065,53,1681.9192,54,1291.3601,10.691444,AAA,393191904,9.925,9.722,9.666,-0.1527119999999997,0.2030000000000011,0.033177562,0.1915424,29,1.3596274,10.463433,0.010552639,0,2,1,31,75.24837499999998,NOT_AVAILABLE,OB-,20 13 39.88,+35 00 54.4,,0.1298272007566744,,,,0.2030000000000011,0.2590000000000003,-1.387848,-1.8162819999999995,-0.7664439999999999,0.0559999999999991,-1.5908480000000012,-2.0192820000000005,-0.9694440000000012,-1.6468480000000003,-2.075282,-1.0254440000000002,-0.4284339999999993,0.6214040000000001,1.0498379999999994,1.0498379999999994,,,0.836
5619653789848010240,110.23605731516116,-22.48894310056156,0.007418522,0.010344317,0.3637433903881357,0.0141553935,25.696453,-4.230642762818911,-1.6588712576061342,0.01215269,0.014097764,10.578269,10.880117,511,4413.9385,57,5503.5767,59,2069.123,10.088718,AAA,212707603,9.593,9.483,9.364,-0.0745672500000007,0.1099999999999994,0.019778823,0.08652835,22,1.0435845,1.4002584000000002,0.0092856009999999,0,1,1,31,14.733793999999987,NOT_AVAILABLE,OB,07 20 56.66,-22 29 20.2,2.0,0.0866776025929067,,,,0.1099999999999994,0.2289999999999992,-0.9852690000000006,-1.2871170000000005,-0.4957180000000001,0.1189999999999997,-1.095269,-1.3971169999999995,-0.6057179999999995,-1.2142689999999998,-1.5161169999999995,-0.7247179999999993,-0.3018479999999996,0.4895510000000005,0.7913990000000002,0.7913990000000002,,,0.942
2013040902386020096,357.9594848107234,62.43834419610352,0.0102282455,0.011209715,0.2435463939077669,0.0133503999999999,18.24263,-2.35333355490866,-0.7969057992154468,0.014596806,0.014990138,11.480157,11.749413,447,3146.6929,51,3780.3945,51,2029.5706,11.033132,AAA,455871818,10.52,10.445,10.305,-0.0787892500000002,0.0749999999999992,0.022112845,0.10929937,28,0.8829523,-3.4226024000000006,0.0031382779999999,0,0,1,31,18.50287399999999,NOT_AVAILABLE,OB pec,23 51 50.29,+62 26 18.1,,0.1125940945043019,,,,0.0749999999999992,0.2149999999999998,-0.9601570000000006,-1.229413000000001,-0.5131320000000006,0.1400000000000005,-1.035157,-1.3044130000000005,-0.5881319999999999,-1.1751570000000005,-1.4444130000000008,-0.7281320000000004,-0.2692560000000004,0.447025,0.7162810000000004,0.7162810000000004,,,0.81
4053988195887916544,267.0413980625586,-32.883847837717035,0.017457431,0.013341027,0.3870620606998917,0.019759052,19.589102,-0.0212953674145368,-1.1786201861478374,0.020368643,0.012869262,9.846108,10.506284,332,1540.156,35,258.96762,36,540.0284,9.050719,AAA,166518318,7.989,7.749,7.637,-0.2002769999999996,0.2400000000000002,0.02921183,0.0,17,0.78619933,-5.640100499999999,0.06397985,0,0,2,31,0.0,NOT_AVAILABLE,OB,17 48 09.94,-32 53 01.8,,0.0767452458627558,,,,0.2400000000000002,0.3520000000000003,-1.8571079999999995,-2.517284000000001,-1.061719000000001,0.1120000000000001,-2.0971079999999995,-2.757284000000001,-1.3017190000000014,-2.209108,-2.8692840000000013,-1.4137190000000013,-0.6601760000000017,0.7953889999999983,1.455565,1.455565,,,0.934
5876411436000552320,226.18530134637643,-60.4590486532184,0.009402953,0.012365694,0.3293461201943138,0.016221596,20.302942,-4.608515715804167,-3.185544877960766,0.015872115,0.020191912,10.9029875,11.380991,503,2802.065,53,879.1324,54,947.7768,10.238305,AAA,43925286,9.443,9.219,9.114,-0.1182468750000009,0.2240000000000002,0.02892939,0.07464726,20,0.89284897,-3.0949483000000004,0.020048074,0,0,1,31,6.160100999999997,NOT_AVAILABLE,OB+,15 04 44.49,-60 27 32.5,,0.1507937768795855,,,,0.2240000000000002,0.3289999999999988,-1.4599875000000004,-1.937991,-0.7953050000000008,0.1049999999999986,-1.6839875000000006,-2.1619910000000004,-1.019305000000001,-1.7889874999999993,-2.266990999999999,-1.1243049999999997,-0.4780034999999998,0.6646824999999996,1.1426859999999994,1.1426859999999994,,,0.936
5524138832481549824,132.63648417387802,-42.55899631542551,0.022933528,0.024945656,0.3759940018604688,0.028949555,12.987903,-5.507570986250783,4.865184655534955,0.030812697,0.03077382,11.136345,11.670663,425,1651.7026,46,1010.0246,46,699.8038,10.354624,AAA,125811406,9.328,9.028,8.873,-0.1108362500000001,0.2999999999999989,0.044089522,0.30881944,29,2.9585264,45.64677,0.0030281558,0,43,3,31,170.37102,VARIABLE,OB-,08 50 32.76,-42 33 32.5,,0.1207890103873945,,,,0.2999999999999989,0.455,-1.808345000000001,-2.342663,-1.026624,0.1550000000000011,-2.108345,-2.642662999999999,-1.326623999999999,-2.263345000000001,-2.797663,-1.481624,-0.534317999999999,0.781721000000001,1.316039,1.316039,,,0.824
