source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmdec,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_g_n_obs,phot_g_mean_flux_over_error,phot_rp_n_obs,phot_rp_mean_flux_over_error,phot_bp_n_obs,phot_bp_mean_flux_over_error,phot_rp_mean_mag,ph_qual,tmass_oid,j_m,h_m,ks_m,j_ks_0,J-H,astrometric_sigma5d_max,astrometric_excess_noise,visibility_periods_used,ruwe,astrometric_gof_al,ipd_gof_harmonic_amplitude,ipd_frac_odd_win,ipd_frac_multi_peak,matched_transits_removed,astrometric_params_solved,astrometric_excess_noise_sig,phot_variable_flag,skiff_type,ra_skiff,dec_skiff,GroupSize_skiff,Sep_skiff,numeric_sp,std_sp,skiff_type_list,j_m-h_m,j_m-ks_m,j_m-phot_g_mean_mag,j_m-phot_bp_mean_mag,j_m-phot_rp_mean_mag,h_m-ks_m,h_m-phot_g_mean_mag,h_m-phot_bp_mean_mag,h_m-phot_rp_mean_mag,ks_m-phot_g_mean_mag,ks_m-phot_bp_mean_mag,ks_m-phot_rp_mean_mag,phot_g_mean_mag-phot_bp_mean_mag,phot_g_mean_mag-phot_rp_mean_mag,phot_bp_mean_mag-phot_rp_mean_mag,bp_rp,B2,B2_cut_split,B2_cut_probability,visibility
4253416515446621184,281.1446331011279,-5.939255583354365,0.012887813,0.01207051,0.1848263948815169,0.0152055349999999,12.155205000000002,-1.062478408557761,-2.469916029226229,0.01774547,0.014117829,10.715073,11.549431,230,217.20479,25,68.76423,25,72.38858,9.811608,AAA,274002555,8.637,8.403,8.223,-0.2090182500000001,0.2339999999999999,0.02595215,0.0,15,0.83852535,-3.5013623000000003,0.05999523,0,0,1,31,0.0,NOT_AVAILABLE,O + O,18 44 34.71,-05 56 21.3,,0.0352909168045562,0.0,,,0.2339999999999999,0.4139999999999997,-2.078073,-2.912431,-1.1746079999999992,0.1799999999999997,-2.312073,-3.146431,-1.4086079999999994,-2.4920729999999995,-3.3264309999999995,-1.588607999999999,-0.8343579999999999,0.9034650000000006,1.7378230000000006,1.7378230000000006,1.0,train,0.958,1.0
3131331054879415680,98.03877121581344,4.82352985306723,0.02262419,0.021810658,0.6967601672116311,0.026444409,26.348108,-1.6054474942540335,0.1109671890754118,0.026450185,0.023383478,7.1998286,7.306723,202,2113.2007,18,1248.2227,20,778.5431,6.9516716,AAA,307896990,6.741,6.703,6.676,-0.0659571500000004,0.0379999999999993,0.041250262,0.15863574,15,1.0622572,1.2629002000000007,0.07493528,0,0,5,31,20.255747000000014,NOT_AVAILABLE,O5,06 32 09.31,+04 49 24.7,22.0,0.0737417642311103,0.4515,0.0623466539852612,"['O4V((f))' 'O4V((f+))' 'O4((f+))' 'O2/6' 'O5' 'O5.3(III)' 'O6' 'O4' 'O5f'
 'O5((f))' 'O4((f))' 'O4V' 'O5V']",0.0379999999999993,0.0649999999999995,-0.4588286000000003,-0.5657230000000002,-0.2106716000000004,0.0270000000000001,-0.4968285999999997,-0.6037229999999996,-0.2486715999999997,-0.5238285999999999,-0.6307229999999997,-0.2756715999999999,-0.1068943999999998,0.2481569999999999,0.3550513999999998,0.3550513999999998,1.0,train,0.982,1.0
454846489876889216,40.71675801958835,56.90455818177675,0.011003266,0.013551897,0.3904724420226313,0.017668625,22.099764,-2.052852262223327,-3.3974618144048327,0.0149064759999999,0.01810951,8.513481,8.783287,374,2043.0288,41,834.43085,42,640.39276,8.04809,AAA,444746447,7.563,7.444,7.362,-0.0868702500000004,0.1189999999999997,0.026214363,0.09102897,20,0.916818,-2.1747958999999994,0.0088591854999999,0,0,3,31,8.100886000000003,VARIABLE,O4If,02 42 52.03,+56 54 16.5,12.0,0.1121299778995737,0.4875,0.1125991626459603,['O4If+' 'O4f' 'O4If' 'O7:f:' 'O6f' 'O5f'],0.1189999999999997,0.2009999999999996,-0.9504810000000008,-1.220287,-0.4850900000000004,0.0819999999999998,-1.0694810000000006,-1.3392869999999997,-0.6040900000000002,-1.1514810000000004,-1.4212869999999995,-0.6860900000000001,-0.2698059999999991,0.4653910000000003,0.7351969999999994,0.7351969999999994,1.0,train,0.99,1.0
2071519321655107200,308.8273362241418,46.83412284754102,0.010235931,0.011607932,0.3386458233283695,0.012777967,26.502325,-2.905262164721796,-4.48314544114891,0.013386573,0.0138330655,9.829304,10.477353,372,2779.2358,41,2450.2825,42,1222.6276,9.025503,AAA,421784134,7.934,7.618,7.47,-0.1258259999999997,0.3159999999999998,0.019534515,0.08833326,27,1.0804578,2.135219599999999,0.007839393,0,0,0,31,9.743887999999998,NOT_AVAILABLE,OB+e:,20 35 18.57,+46 50 02.9,3.0,0.1116005621062601,0.525,0.1060660171779821,['O6' 'O4.5IV((f))'],0.3159999999999998,0.4640000000000004,-1.8953040000000003,-2.5433530000000006,-1.0915030000000003,0.1480000000000005,-2.211304,-2.8593530000000005,-1.4075030000000002,-2.3593040000000007,-3.007353000000001,-1.5555030000000007,-0.6480490000000003,0.803801,1.4518500000000003,1.4518500000000003,1.0,train,0.982,1.0
3372479140539725440,96.25541778896051,19.84892037312696,0.026182374,0.021940483,0.2233177595898868,0.028278675,7.897037499999996,-0.2493595585751635,-0.4718922947207625,0.03440405,0.023313241,9.806815,9.92149,173,1734.9429,19,1703.3203,19,499.93033,9.558659,AAA,352207028,9.342,9.324,9.353,-0.1244537499999993,0.0180000000000006,0.04777698,0.17866616,13,1.2541469,4.423531,0.04132229,0,6,0,31,29.711787999999984,NOT_AVAILABLE,O5V((fc)),06 25 01.30,+19 50 56.1,4.0,0.01387386982782,0.525,0.0353553390593274,['O5V((fc))' 'O5.5'],0.0180000000000006,-0.0109999999999992,-0.4648149999999997,-0.5794899999999998,-0.2166589999999999,-0.0289999999999999,-0.4828150000000004,-0.5974900000000005,-0.2346590000000006,-0.4538150000000005,-0.5684900000000006,-0.2056590000000007,-0.114675,0.2481559999999998,0.3628309999999999,0.3628309999999999,1.0,train,0.956,1.0
3131335693444047232,97.98132609650474,4.942859272641177,0.028191565,0.028807005,0.6430717392549955,0.033988383,18.92034,-2.095938211158252,-0.1959122634763375,0.03098672,0.030297855,6.7138314,6.761799,174,2590.0469,18,736.02734,20,826.0091,6.561539999999999,AAA,308253257,6.445,6.47,6.436,-0.0604578499999997,-0.0249999999999994,0.048876774,0.21844664,15,1.0380411,0.7351662000000001,0.030892499,0,0,5,31,43.187363000000005,NOT_AVAILABLE,O6,06 31 55.52,+04 56 34.3,22.0,0.0267862392626819,0.5289473684210527,0.053530337903131,['O6' 'O5' 'O6(V)' 'O6f' 'O5V((f))' 'O5.5((f))' 'O5V' 'O5V((f))z' 'O2/6'],-0.0249999999999994,0.0090000000000003,-0.2688313999999998,-0.3167989999999996,-0.1165399999999996,0.0339999999999998,-0.2438314000000003,-0.2917990000000001,-0.0915400000000001,-0.2778314000000002,-0.3257989999999999,-0.1255399999999999,-0.0479675999999997,0.1522914000000002,0.2002589999999999,0.2002589999999999,1.0,train,0.972,1.0
250748269580520320,60.83644112796666,51.314579224645954,0.016204301,0.010069551,0.3069471074808781,0.01861846,16.48617,-1.7403734216604176,-2.141723938528262,0.02051184,0.015861759,10.737192,11.407553,456,3806.548,53,2542.739,51,1523.9578,9.926467,AAA,432213121,8.889,8.6,8.448,-0.131298000000001,0.2889999999999997,0.029368782,0.11407851,19,1.0438313,1.2842515,0.016008627,0,0,0,95,19.79292000000001,NOT_AVAILABLE,B0,04 03 20.74,+51 18 52.5,9.0,0.0569945763802426,0.5375,0.1995530720671284,['O5:V' 'O5' 'O6' 'O4V((c))' 'O4V((fc))' 'O4' 'B0'],0.2889999999999997,0.4409999999999989,-1.848192000000001,-2.5185530000000007,-1.0374670000000012,0.1519999999999992,-2.1371920000000006,-2.8075530000000004,-1.326467000000001,-2.289192,-2.959553,-1.4784670000000002,-0.6703609999999998,0.8107249999999997,1.4810859999999997,1.4810859999999997,1.0,train,0.988,1.0
465527523789596160,38.205913066228426,61.378354283733216,0.012945133,0.0166792,0.4423905854812893,0.022577997,19.59388,-0.7201361847962939,-0.8727156412151017,0.021428483,0.022554247,7.8908753,8.325126,603,2835.994,67,1147.7454,68,1070.5557,7.2541175,AAA,453936749,6.477,6.31,6.158,-0.114218825,0.1670000000000007,0.032208208,0.16715927,24,0.94492424,-1.8186567,0.022903822,0,0,0,95,22.40299200000001,VARIABLE,OB,02 32 49.42,+61 22 42.1,29.0,0.0253506620963812,0.5491304347826087,0.235814122552609,"['O4If+' 'O4If' 'O4.5If' 'O9e' 'O4f' 'O5f' 'O5fIa:' 'O2/6' 'O5.8(I)' 'B2'
 'B0' 'O6f' 'O5' 'B0?']",0.1670000000000007,0.3189999999999999,-1.4138753,-1.8481259999999988,-0.7771175000000001,0.1519999999999992,-1.5808753000000006,-2.0151259999999995,-0.9441175000000008,-1.7328753,-2.1671259999999988,-1.0961175,-0.4342506999999989,0.6367577999999998,1.0710084999999987,1.0710084999999987,1.0,train,0.96,1.0
459303222822598272,35.544576607899394,59.54968822828394,0.009611266,0.010109605,0.3683079953973626,0.015487578,23.780865,-0.9766762319541762,-0.979112418355654,0.012733584,0.012776582,9.094711,9.311525,429,2702.323,49,1206.7966,49,937.9425,8.697896,AAA,450329596,8.269,8.242,8.179,-0.1389277500000001,0.0269999999999992,0.01842434,0.0845148,20,0.97474116,-0.6957496400000007,0.0165284029999999,0,0,1,31,9.975958999999987,NOT_AVAILABLE,OBe,02 22 10.70,+59 32 58.9,13.0,0.0255213760216501,0.5555555555555556,0.068211273098937,['O5.5III' 'O7' 'O5(f)np' 'O5Infp' 'O5.5' 'O5V' 'O6f' 'O6fe'],0.0269999999999992,0.0899999999999998,-0.8257110000000001,-1.0425249999999997,-0.4288959999999999,0.0630000000000006,-0.8527109999999993,-1.0695249999999987,-0.4558959999999992,-0.915711,-1.1325249999999991,-0.5188959999999998,-0.2168139999999994,0.3968150000000001,0.6136289999999995,0.6136289999999995,1.0,train,0.98,1.0
181178389317231616,80.62208870730313,33.514011992939686,0.018956836,0.013097594,0.2928064956231194,0.020289902,14.431144,-0.9044919402230558,-0.6843667868323584,0.023448449,0.016163599,8.960897,9.111103,248,2400.4568,29,2263.5945,28,996.88605,8.647831,AAA,389272201,8.282,8.249,8.185,-0.0969742500000001,0.0329999999999994,0.033411585,0.11271032,16,0.9799654,-0.4167970000000007,0.06834197,0,0,2,31,13.72941,NOT_AVAILABLE,O5,05 22 29.30,+33 30 50.4,10.0,0.0460892730865367,0.55625,0.18980723303996,['O5' 'B0' 'O4V(n)' 'O6V((f))' 'O5.5' 'O4.5V((fc))(n)' 'O4.5V((fc))(n)z'],0.0329999999999994,0.0969999999999995,-0.6788969999999992,-0.8291029999999999,-0.365831,0.064,-0.7118969999999987,-0.8621029999999994,-0.3988309999999995,-0.7758969999999987,-0.9261029999999996,-0.4628309999999995,-0.1502060000000007,0.3130659999999992,0.4632719999999999,0.4632719999999999,1.0,train,0.97,1.0
