source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmdec,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_g_n_obs,phot_g_mean_flux_over_error,phot_rp_n_obs,phot_rp_mean_flux_over_error,phot_bp_n_obs,phot_bp_mean_flux_over_error,phot_rp_mean_mag,ph_qual,tmass_oid,j_m,h_m,ks_m,j_ks_0,J-H,astrometric_sigma5d_max,astrometric_excess_noise,visibility_periods_used,ruwe,astrometric_gof_al,ipd_gof_harmonic_amplitude,ipd_frac_odd_win,ipd_frac_multi_peak,matched_transits_removed,astrometric_params_solved,astrometric_excess_noise_sig,phot_variable_flag,skiff_type,ra_skiff,dec_skiff,GroupSize_skiff,Sep_skiff,numeric_sp,std_sp,skiff_type_list,j_m-h_m,j_m-ks_m,j_m-phot_g_mean_mag,j_m-phot_bp_mean_mag,j_m-phot_rp_mean_mag,h_m-ks_m,h_m-phot_g_mean_mag,h_m-phot_bp_mean_mag,h_m-phot_rp_mean_mag,ks_m-phot_g_mean_mag,ks_m-phot_bp_mean_mag,ks_m-phot_rp_mean_mag,phot_g_mean_mag-phot_bp_mean_mag,phot_g_mean_mag-phot_rp_mean_mag,phot_bp_mean_mag-phot_rp_mean_mag,bp_rp,B2,B2_cut_split,B2_cut_probability,SNRG,RA_OBS,DEC_OBS,DESIG,HELIO,HELIO_RV,fits_name,GroupID,GroupSize,Separation,constain,Hgam_mu,Hgam_lambdaEff,SNR,mu-lambda_eff,Hgam_p-T,4102_S,4102_EW4,4102_sigma,4102_type,4121_S,4121_EW4,4121_sigma,4121_type,4144_S,4144_EW4,4144_sigma,4144_type,4387_S,4387_EW4,4387_sigma,4387_type,4471_S,4471_EW4,4471_sigma,4471_type,4271.8_S,4271.8_EW4,4271.8_sigma,4271.8_type,4383.5_S,4383.5_EW4,4383.5_sigma,4383.5_type,4226.7_S,4226.7_EW4,4226.7_sigma,4226.7_type,4481_S,4481_EW4,4481_sigma,4481_type,4542_S,4542_EW4,4542_sigma,4542_type,4552_S,4552_EW4,4552_sigma,4552_type,4089_S,4089_EW4,4089_sigma,4089_type,sp,4958.8_S,4958.8_EW4,4958.8_sigma,4958.8_type,sequence,4226_S,4226_EW4,4226_sigma,4226_type,4583_S,4583_EW4,4583_sigma,4583_type,4383_S,4383_EW4,4383_sigma,4383_type,4046_S,4046_EW4,4046_sigma,4046_type
3376778299723392512,95.26922387385412,22.16944980280929,0.018862356,0.017508266,0.5100309390900299,0.022184243,22.990683,0.2183270347817694,-2.356425608938144,0.02288246,0.018571345,11.083379,11.314441,189,1978.8694,20,1498.5502,20,864.9931,10.675333,AAA,358789299,10.248,10.082,9.873,0.0724052499999996,0.1659999999999986,0.03290552,0.10911947,14,0.90519005,-1.7409114,0.0594236,0,0,1,31,12.85084599999999,NOT_AVAILABLE,Be:,06 21 04.61,+22 10 10.1,2.0,0.0959080365537523,,,,0.1659999999999986,0.375,-0.8353790000000014,-1.066441000000001,-0.4273330000000008,0.2090000000000014,-1.001379,-1.2324409999999997,-0.5933329999999994,-1.2103790000000014,-1.441441000000001,-0.8023330000000009,-0.2310619999999996,0.4080460000000006,0.6391080000000002,0.6391080000000002,,,0.638,856.71,95.269242,22.169481,LAMOST J062104.61+221010.1,True,28.45725,spec-57724-HIP29425K201_sp06-106.fits,156.0,30.0,0.1275354706454313,1.0,4341.55307286799,4341.58935546875,844.18701171875,-0.0362826007603871,0.1369271320099869,19.340051483296666,4.735702821014076,5.789421956203244,E,0.24512701924063907,,,U,1.1699431915117695,0.2067074820130405,1.2102096840137948,E,1.7007287035329852,0.3909938643755764,1.281175165002047,E,12.050171513139828,1.0742463526005774,2.449860496625999,T,5.270267891261518,0.1634267392570735,1.7995298263712614,E,-0.35437210096830235,,,U,0.6586421812833582,,,U,2.0120035124294744,0.5944497964934192,4.570045598799949,T,0.782036464742952,,,U,0.37763115729548113,,,U,1.6817822108152738,0.2500031501397114,4.029740947977836,T,0,-0.3738439192806182,,,U,0.5533645006607208,0.6041146542796403,,,U,-0.8827555763620535,,,U,-0.8456413107688981,,,U,-0.07438248576346836,,,U
3126813913216208512,101.04142378000591,2.3915744179344967,0.018932339,0.01804777,0.6149837641203861,0.022537926,27.286617,-1.2265558449026648,0.5411555822097751,0.023011904,0.019660939,9.045796,9.08983,246,1597.8828,26,317.77554,27,270.17892,8.873844,AAA,300538680,8.71,8.738,8.684,-0.0644489999999984,-0.0279999999999986,0.033421557,0.16467091,17,1.1621778,3.5081327,0.06186073,0,0,1,31,33.86895799999999,VARIABLE,,,,,,,,,-0.0279999999999986,0.0260000000000015,-0.3357959999999984,-0.3798299999999983,-0.1638439999999992,0.0540000000000002,-0.3077959999999997,-0.3518299999999996,-0.1358440000000005,-0.361796,-0.4058299999999999,-0.1898440000000008,-0.0440339999999999,0.1719519999999992,0.2159859999999991,0.2159859999999991,,,0.774,828.11,101.042172,2.391054,LAMOST J064410.12+022327.7,True,-14.98329,spec-57358-HD063739N014841V01_sp13-231.fits,,,3.279150202354182,1.0,4342.281208547673,4341.5244140625,811.5975341796875,0.756794485172577,0.5912085476729771,17.884306604212494,3.338619904612857,3.527173034472455,T,1.5707765157458298,0.25773209189570967,1.2034927866363045,E,2.197100925653306,0.35005841641831587,1.2102096840137846,E,1.812572174047087,0.42135227247804413,1.2811751650020446,E,23.712653773766263,1.0482938910179156,1.7384430151615538,E,1.9528796245068125,0.09823254204629824,1.2475322703113139,E,-0.3091029309269568,,,U,36.43801850604789,0.5966948389945176,1.234361310671106,E,2.588067619545258,0.1495825018179394,1.3086268325448283,T,-0.5494439829036907,,,U,7.748634809801347,0.16964803227940778,1.3293616027101223,E,0.3259584525588776,,,U,0,0.23983651794453345,,,U,0.14269137986933378,39.117191605319164,0.5987946977356997,1.234156883359617,E,-0.5706309802190022,,,U,-0.4423977270008993,,,U,0.05964901957288488,,,U
3425138463244391680,93.64402634306808,22.909509814461725,0.27399102,0.23826526,0.4433617499408654,0.29384336,1.508837100000001,-1.0328626210343803,-1.524982552300555,0.33396813,0.2634371,9.958524,10.333131,220,161.65898,24,47.15774,25,79.68339,9.378501,AAA,360847942,8.319,8.078,7.83,-0.0431309999999993,0.2410000000000014,0.50542396,2.316818,17,18.584297,187.16174,0.16522755,0,0,2,31,6271.0327,NOT_AVAILABLE,OB-,06 14 34.57,+22 54 34.3,,0.0822433130377047,,,,0.2410000000000014,0.4890000000000006,-1.6395239999999998,-2.014130999999999,-1.0595009999999991,0.2479999999999993,-1.8805240000000008,-2.2551310000000004,-1.3005010000000006,-2.128524,-2.503131,-1.548501,-0.3746069999999992,0.5800230000000006,0.95463,0.95463,,,0.742,812.56,93.64398,22.90951,LAMOST J061434.55+225434.2,True,-24.60749,spec-58788-HIP29425K201_sp08-230.fits,187.0,9.0,0.1536766828276927,1.0,4341.827014065347,4341.61279296875,802.3744506835938,0.2142210965967024,0.1370140653471026,8.755230040278077,3.121346344669528,4.786486696816003,E,0.9369625099174961,,,U,1.2596700089169899,0.22047072848784438,1.2346928981343028,E,1.907899716154786,0.4268214056391229,1.2811751650020446,E,7.828070589559903,0.7905936532767535,2.4285860914333357,E,2.795854208620945,0.3271916589820834,6.3815678727193434,E,0.2232035903079934,,,U,0.7192564655745566,,,U,0.7910371192641532,,,U,-0.8359962850476338,,,U,2.018049440978598,0.012766585551622554,1.3293616027101223,E,0.8366590095149339,,,U,0,1.565516698294902,0.022772191577236096,1.448163074586765,E,,0.7125749643556091,,,U,0.4218156471691394,,,U,-0.1711234082580705,,,U,-0.7795772843941698,,,U
3426118540422838272,91.39084613437262,23.482627962411616,0.015747167,0.012769407,0.1497219304841752,0.017860174,8.383004999999997,0.1140413200848482,-0.0777399003253553,0.020253198,0.014941369,11.723761,11.914474,223,2865.943,23,1622.661,23,1541.8586,11.374955,AAA,362433518,10.996,10.933,10.887,-0.1001902499999998,0.0630000000000006,0.028037935,0.1068625299999999,17,1.0001701,0.0353502779999992,0.04406877,0,12,0,31,14.871911000000011,NOT_AVAILABLE,OB,06 05 33.81,+23 28 57.6,2.0,0.1688144733931248,,,,0.0630000000000006,0.1089999999999999,-0.7277609999999992,-0.9184739999999998,-0.3789549999999995,0.0459999999999993,-0.7907609999999998,-0.9814740000000004,-0.4419550000000001,-0.8367609999999992,-1.0274739999999998,-0.4879549999999995,-0.1907130000000005,0.3488059999999997,0.5395190000000003,0.5395190000000003,,,0.706,792.49,91.390829,23.482611,LAMOST J060533.79+232857.3,True,28.93085,spec-57725-HIP29425K201_sp03-105.fits,20.0,26.0,0.0832444805745023,1.0,4342.353017088573,4341.52783203125,791.95068359375,0.8251850573233241,0.6630170885737243,13.843685040644978,3.655642287367234,3.95783271596282,E,1.801188371873347,0.32222510854050057,1.2034927866362954,E,1.782287643898632,0.21079444794992816,1.2102096840137846,E,1.9174599491875524,0.4843050377486778,1.2811751650020446,E,8.751094626939487,0.9022673242288741,1.6346161236482601,E,4.202475363735994,0.1024311382853644,1.2613987683522485,E,0.026038816889934077,,,U,-1.254184108514567,,,U,0.90098590198658,,,U,0.8502985420841223,,,U,4.5970856300621845,0.05715643815081162,1.3293616027101223,E,0.6517740203836252,,,U,0,-0.3538551072587023,,,U,,-1.075706065088547,,,U,0.41950690082823994,,,U,-0.21829767247721507,,,U,-0.4960176525921307,,,U
3372586102405306496,96.38164623451104,20.09734621699544,0.0155124115,0.013829142,0.2431560094054977,0.01766152,13.767558,0.2549585410229511,0.0148754461122146,0.02008523,0.015180802,10.945798,11.169903,240,737.597,26,242.18266,26,348.46204,10.541364,AAA,352918891,10.096,9.95,9.687,0.0943005000000005,0.1460000000000008,0.027987007,0.10552934,16,0.9698183,-0.5984385999999997,0.039036654,0,1,0,31,12.936858999999998,NOT_AVAILABLE,Be,06 25 31.60,+20 05 50.4,4.0,0.0832036136202827,,,,0.1460000000000008,0.4090000000000007,-0.8497979999999998,-1.0739029999999996,-0.4453639999999996,0.2629999999999999,-0.9957980000000006,-1.2199030000000004,-0.5913640000000004,-1.2587980000000003,-1.4829030000000003,-0.8543640000000003,-0.2241049999999997,0.4044340000000002,0.628539,0.628539,,,0.776,732.96,96.381646,20.097346,LAMOST J062531.59+200550.4,True,-27.81704,spec-59232-TD062610N184524H01_sp15-208.fits,108.0,8.0,0.0011130290767675,1.0,4337.49384948557,4341.5361328125,735.2196655273438,-4.042283326930374,4.1961505144299736,5.814597890138473,1.5630419608512736,6.526231426225226,E,1.2160384714565857,0.12178261319387661,1.203492786636295,E,3.2282427918333396,0.38510461566467674,1.7460208000447341,E,4.112669777457117,0.33446995086366127,1.470411674171317,E,9.449910048618113,0.6947164836390803,2.267568053265648,E,1.81188627814738,0.11478935413154653,1.779037398867324,E,0.07491783085430127,,,U,-0.687514831922143,,,U,0.5163441694285281,,,U,0.11949579215007632,,,U,1.1098362215294562,-0.10644353385319598,1.3293616027101602,E,0.6753827485570346,,,U,0,-0.5697443769901123,,,U,,-0.699265768840345,,,U,-1.4669141580508986,,,U,0.09054573419728436,,,U,-0.7821532384572513,,,U
2051930078899200768,292.7780060016944,38.32821535246807,0.023826333,0.027826333,0.4542735151775097,0.03001314,15.135820000000002,-4.952313486986318,-8.959146372010473,0.031298175,0.035113174,10.247632,10.1716795,410,1930.1298,48,2541.2659,48,1336.6743,10.364644,AAA,401594993,10.549,10.622,10.683,-0.0251580000000002,-0.0730000000000004,0.049545582,0.3265869,27,0.96611625,-0.9303756399999994,0.01696057,0,1,0,95,141.14969,NOT_AVAILABLE,,,,,,,,,-0.0730000000000004,-0.1340000000000003,0.3013680000000001,0.3773204999999998,0.1843559999999993,-0.0609999999999999,0.3743680000000005,0.4503205000000001,0.2573559999999996,0.4353680000000005,0.5113205000000001,0.3183559999999996,0.0759524999999996,-0.1170120000000007,-0.1929645000000004,-0.1929645000000004,,,0.696,701.37,292.77783,38.328288,LAMOST J193106.67+381941.8,True,-10.49256,spec-57918-KP192409N391242V04_sp06-022.fits,50.0,6.0,0.5616517216688446,1.0,4341.277385067482,4341.55322265625,717.984619140625,-0.2758375887678994,0.4126149325174992,20.984167018390476,4.330842395747874,3.9004833853246366,E,1.4656502939211986,0.21581085155283486,1.203492786636295,E,2.83838797217622,0.4820197859563212,1.2102096840137846,E,3.1327765199930204,0.6023573091083757,1.2811751650020446,E,39.50205671434686,1.53912970671372,2.0119945768583896,E,3.8161500000427755,0.20535981157214087,1.4219296121035416,E,0.3543105016448505,,,U,0.13254613898118134,,,U,5.529099572313231,0.24766264448684822,1.4457165831569947,T,-0.0988112941027694,,,U,4.868410304222014,0.09635973030000453,1.3293616027101223,E,0.8663497663502183,,,U,0,0.17609343707468297,,,U,0.16091083383456115,0.1683627497711323,,,U,-1.1561504657930022,,,U,-0.3265574156583398,,,U,0.018122997446360253,,,U
3370622610856485376,96.03456385837362,18.38957419459196,0.015801407,0.0141146025,0.2691318853471141,0.017268596,15.585047,-0.2020357803989996,-0.1847793668409261,0.021639746,0.015134845,10.326039,10.803767,203,2503.6504,19,5648.5596,19,1340.3075,9.657743,AAA,347990054,8.808,8.573,8.412,-0.0825097500000007,0.2349999999999994,0.030222885,0.083004005,16,1.0000715,0.03550757,0.041353308,0,0,0,31,7.660840500000006,NOT_AVAILABLE,,,,,,,,,0.2349999999999994,0.395999999999999,-1.518039,-1.9957670000000007,-0.8497430000000001,0.1609999999999996,-1.7530389999999991,-2.230767,-1.0847429999999996,-1.914038999999999,-2.391767,-1.2457429999999992,-0.4777280000000008,0.6682959999999998,1.1460240000000006,1.1460240000000006,,,0.886,723.34,96.034565,18.389575,LAMOST J062408.29+182322.4,True,-23.58313,spec-59253-TD062610N184524H01_sp04-137.fits,42.0,6.0,0.004859707276858,1.0,4342.297651449188,4341.54345703125,681.54296875,0.754194417938379,0.6076514491887792,35.99759376712013,5.952575027459047,3.7750144728708603,T,0.24722981568502714,,,U,-0.2788094819177201,,,U,-0.0012317772077334044,,,U,0.8939690439334959,,,U,1.940461363451292,0.07378936294563807,1.585793447735217,E,-0.012000057121307165,,,U,1.2903989665077125,-0.009999618365645245,1.2343613106711069,E,6.363838445017919,0.15926776885790894,1.3086268325448283,E,0.04412108321545175,,,U,4.938072392321009,0.1299923828615908,1.3293616027101223,E,0.5239871626684129,,,U,0,1.2098426565880342,0.0062457998672321895,1.448163074586765,E,,1.3243737126013946,-0.010781056217989998,1.2341568833596173,E,2.88103344421775,0.15787495968527018,1.3384148122189128,T,-0.20161108268210343,,,U,-0.4451898916490464,,,U
942784324072249856,96.08488226712772,35.979875786934095,0.019154686,0.01692895,0.5625724035787085,0.022001004,25.570307,-0.4548937160786199,-2.75535469910361,0.027206028,0.020856537,9.511898,9.576279,199,2016.7164,22,906.00006,23,615.23126,9.354113,AAA,395704031,9.006,8.878,8.731,0.0797755000000002,0.1280000000000001,0.0383706,0.1333900799999999,16,1.0613245,1.235751399999998,0.060618855,0,0,1,31,19.326097000000004,NOT_AVAILABLE,,,,,,,,,0.1280000000000001,0.2750000000000003,-0.5058980000000002,-0.5702789999999993,-0.3481129999999997,0.1470000000000002,-0.6338980000000003,-0.6982789999999994,-0.4761129999999998,-0.7808980000000005,-0.8452789999999997,-0.623113,-0.0643809999999991,0.1577850000000005,0.2221659999999996,0.2221659999999996,,,0.656,690.26,96.08485,35.979904,LAMOST J062420.36+355847.6,True,-20.02633,spec-56610-GAC094N35V2_sp13-160.fits,,,0.138390742575602,1.0,4341.823015022,4341.56298828125,668.4566040039062,0.2600267407497085,0.1330150220001087,45.98127103372711,4.313525504634142,3.9887930271137657,E,0.4359967505759391,,,U,1.3221836068291521,0.2649160867718652,1.2102096840137846,E,1.52631309024056,0.3714430513480003,1.2811751650020446,E,14.521494270924514,0.9498572614705393,2.339103584487931,T,5.212575602576935,0.12703996079304378,1.946467761673392,T,0.07006418674747644,,,U,-1.3472147058080979,,,U,4.13985210276286,0.2549063260290896,1.8828995225528955,T,-0.9898429749477122,,,U,3.8717228585814705,0.058514474241528114,1.6382296704730146,E,0.7944122467867318,,,U,0,0.19134953243399885,,,U,0.2683627702487125,-1.3546152399668978,,,U,2.0381559483597425,0.10796454789889495,6.525902618046811,E,-0.3100364117242032,,,U,-0.0820070874769936,,,U
3375360788715959552,93.00907553409628,21.288212725592736,0.22864625,0.19413576,0.5990281946816028,0.28250575,2.1204107000000008,1.4872545902760117,-1.8802869080724585,0.23937623,0.19514443,11.387063,11.909688,185,1431.9039,22,1432.5269,22,844.70966,10.668258,AAA,356308244,9.745,9.474,9.244,-0.0347657500000004,0.270999999999999,0.34119022,1.7494907,15,10.79867,113.04981,0.088851966,0,0,0,31,3207.4358,NOT_AVAILABLE,,,,,,,,,0.270999999999999,0.5009999999999994,-1.6420630000000005,-2.164688,-0.9232580000000006,0.2300000000000004,-1.9130629999999995,-2.435687999999999,-1.1942579999999998,-2.143063,-2.6656879999999994,-1.424258,-0.5226249999999997,0.7188049999999997,1.2414299999999994,1.2414299999999994,,,0.612,672.62,93.009069,21.288215,LAMOST J061202.17+211717.5,True,28.7063,spec-57725-HIP29425K201_sp01-087.fits,78.0,29.0,0.0233971463750314,1.0,4341.778115296852,4341.69189453125,651.802490234375,0.0862207656018654,0.0881152968522656,8.994721614613804,5.338834814326006,4.9739009038893665,E,0.7171117041034794,,,U,1.3040814848108584,0.28655691146414036,1.2102096840137846,E,2.349555733094425,0.5394054152889897,1.2811751650020446,E,10.965171881517568,0.7739301356248438,1.8069609788349688,E,6.00916802410434,0.13544581944253953,1.2942331895326364,E,0.3086205607902045,,,U,-0.2370818186729424,,,U,2.1165423534864822,0.17316936043245837,1.3190250230172371,T,0.17210977133725788,,,U,-0.15717524439425773,,,U,1.3108044028742756,65.8047486223824,166.79317808008722,T,0,-0.4446974151058394,,,U,0.2237532206865773,-0.33258354026030834,,,U,-0.4161645180301786,,,U,-0.03428711293378771,,,U,-0.9685326057298016,,,U
3377723772345285760,100.9946804233065,19.83954058486699,0.014560111,0.013000605,0.4599270165060041,0.0156555,29.377983,-0.9384470359256007,-1.8821010532073992,0.019624513,0.01580307,9.451637,9.747751,223,4469.031,25,2532.4243,24,1847.8716,8.975247,AAA,352180154,8.386,8.173,8.042,-0.0084092500000005,0.2129999999999992,0.027572049,0.091174744,17,1.1120738,2.351132,0.09007324,0,0,0,31,9.347857000000005,NOT_AVAILABLE,,,,,,,,,0.2129999999999992,0.3439999999999994,-1.0656370000000006,-1.361751,-0.5892470000000003,0.1310000000000002,-1.2786369999999998,-1.5747509999999991,-0.8022469999999995,-1.409637,-1.7057509999999994,-0.9332469999999996,-0.2961139999999993,0.4763900000000003,0.7725039999999996,0.7725039999999996,,,0.78,649.44,100.994689,19.838678,LAMOST J064358.72+195019.2,True,17.94582,spec-57060-HD064747N214129V01_sp02-025.fits,,,3.1054413388880024,1.0,4342.31171749744,4341.7900390625,642.1162109375,0.5216784349395311,0.6217174974399313,11.036750588417958,4.623586162653213,3.595562298468733,T,0.11545517161657956,,,U,0.08873525498944702,,,U,0.9443959898068266,,,U,2.9575437919483125,0.2602536580587406,1.3057064423807023,E,1.485921882831561,0.1254070379274411,1.2475322703113139,E,1.0857329909830686,-0.25895682687913785,1.2801530284446005,E,3.1286098944300416,0.1655278755019171,1.234361310671106,E,3.544519975376751,-0.009473845553181696,1.3086268325448283,E,-0.18519643268756464,,,U,3.259304959233278,0.31486826846450344,1.3293616027101223,E,0.6285115114645189,,,U,0,3.093821897782623,0.13626932836780015,1.448163074586765,E,-0.03640235308832201,3.35511017424347,0.1696109010768862,1.234156883359617,E,3.6496724912438836,0.40984254416569177,1.3384148122189128,E,0.4349889195472177,,,U,1.2787431842202344,-0.14984029188400064,1.1815898604053618,E
