SNRG,RA_OBS,DEC_OBS,DESIG,HELIO,HELIO_RV,fits_name
166.73,88.844817,35.847879,LAMOST J055522.75+355052.3,True,-12.34111,spec-56257-GAC089N38V2_sp01-207.fits
224.25,17.673342,39.550537,LAMOST J011041.60+393301.9,True,22.06491,spec-57378-HD010945N380728V01_sp15-038.fits
533.61,94.06699,23.60801,LAMOST J061616.07+233628.8,True,21.0566,spec-58109-HIP29425K201_sp09-148.fits
33.56,88.245731,36.393497,LAMOST J055258.97+362336.5,True,11.66696,spec-57035-HD054156N353752V01_sp13-023.fits
193.09,34.919473,57.500954,LAMOST J021940.67+573003.4,True,-18.96041,spec-59111-HD023050N553254V01_sp16-041.fits
109.56,103.737893,-3.37067,LAMOST J065457.09-032214.4,True,-15.08031,spec-58456-HD064759S041506V01_sp13-112.fits
190.11,87.224927,42.916551,LAMOST J054853.98+425459.5,True,14.49238,spec-57407-HD055556N411923V01_sp16-199.fits
7.69,91.141665,30.507872,LAMOST J060433.99+303028.3,True,1.76188,spec-55922-GAC_091N29_M1_sp15-022.fits
688.66,95.269242,22.169481,LAMOST J062104.61+221010.1,True,29.16703,spec-57728-HIP29425K201_sp06-106.fits
2.98,77.514424,37.496335,LAMOST J051003.46+372946.8,True,25.83925,spec-55969-GAC_080N37_V4_sp14-036.fits
104.26,306.120867,40.617449,LAMOST J202429.00+403702.8,True,7.38186,spec-56916-HD202734N382625V01_sp11-156.fits
156.08,23.418617,46.89637,LAMOST J013340.46+465346.9,True,-8.11896,spec-57675-HD014236N482459V01_sp02-036.fits
137.91,142.862079,16.564217,LAMOST J093126.89+163351.1,True,-26.21155,spec-57368-HD093702N162616V01_sp03-053.fits
31.03,36.608432,58.467023,LAMOST J022626.02+582801.2,True,10.1016,spec-55910-B91003_sp06-038.fits
412.79,37.177833,57.287513,LAMOST J022842.67+571715.0,True,-19.44531,spec-59111-HD023050N553254V01_sp11-090.fits
1.55,34.343731,56.48735,LAMOST J021722.49+562914.4,True,-18.97512,spec-59111-HD023050N553254V01_sp14-129.fits
3.76,331.640529,54.988522,LAMOST J220633.72+545918.6,True,-3.03994,spec-59111-HD220002N540627V01_sp09-028.fits
51.67,89.533463,19.901287,LAMOST J055808.03+195404.6,True,13.56052,spec-56309-GAC088N20V1_sp08-246.fits
43.63,94.721855,2.471331,LAMOST J061853.24+022816.7,True,-22.47215,spec-57330-HD062551N004845V01_sp16-219.fits
190.19,98.082412,2.471059,LAMOST J063219.77+022815.8,True,-13.6141,spec-57358-HD063739N014841V01_sp14-174.fits
334.2,95.269242,22.169481,LAMOST J062104.61+221010.1,True,24.75954,spec-57782-HIP29425K201_sp06-106.fits
168.59,97.261265,17.918388,LAMOST J062902.70+175506.1,True,23.29203,spec-56706-GAC097N20V2_sp01-020.fits
250.58,117.86295,22.612909,LAMOST J075127.10+223646.4,True,-22.11978,spec-56626-GAC117N24V1_sp01-134.fits
93.92,79.898322,19.079503,LAMOST J051935.59+190446.2,True,-22.87084,spec-59145-HD052043N171434V02_sp11-012.fits
260.96,48.783955,14.896599,LAMOST J031508.14+145347.7,True,26.5799,spec-57401-EG031827N151038V01_sp03-187.fits
38.33,91.140099,30.505037,LAMOST J060433.62+303018.1,True,27.31778,spec-56350-GAC089N28V2_sp12-110.fits
125.5,91.188738,23.402,LAMOST J060445.29+232407.2,True,-27.31572,spec-56583-GAC093N22V1_sp14-162.fits
83.01,71.859522,41.409328,LAMOST J044726.28+412433.5,True,25.8987,spec-55968-GAC_070N40_V4_sp13-240.fits
306.18,80.23454,35.073872,LAMOST J052056.28+350425.9,True,21.6128,spec-56687-GAC080N37V1_sp01-206.fits
255.91,50.077529,52.772562,LAMOST J032018.60+524621.2,True,-16.29587,spec-56945-HD031350N514705V01_sp09-074.fits
112.48,41.678452,56.58206,LAMOST J024642.82+563455.4,True,-14.32479,spec-59135-HD030004N551117V02_sp16-003.fits
8.7,77.142273,45.524573,LAMOST J050834.14+453128.4,True,-5.28811,spec-56262-GAC078N47V1_sp02-140.fits
117.08,97.730436,15.411591,LAMOST J063055.30+152441.7,True,27.30753,spec-57453-KP063110N165618V01_sp01-168.fits
452.44,94.346853,25.953466,LAMOST J061723.24+255712.4,True,12.58133,spec-57407-KP062035N253629V01_sp03-127.fits
110.05,264.065776,6.456237,LAMOST J173615.78+062722.4,True,-23.77432,spec-57120-HD173955N074804V01_sp02-227.fits
252.01,101.122905,2.689764,LAMOST J064429.49+024123.1,True,-15.03867,spec-57358-HD063739N014841V01_sp13-106.fits
172.93,103.236515,-4.965303,LAMOST J065256.76-045755.0,True,-14.71586,spec-58456-HD064759S041506V01_sp08-146.fits
240.33,61.186439,48.622978,LAMOST J040444.74+483722.7,True,-7.27867,spec-56611-GAC061N46V3_sp11-097.fits
245.19,105.388592,26.093771,LAMOST J070133.26+260537.5,True,12.65441,spec-58513-HD070224N241255V01_sp11-180.fits
67.47,60.470785,51.974129,LAMOST J040152.98+515826.8,True,24.32962,spec-55966-GAC_061N50_V3_sp16-105.fits
173.72,92.83984,18.903832,LAMOST J061121.56+185413.7,True,29.00497,spec-57457-KP061450N190923V01_sp03-187.fits
258.79,32.239951,56.352068,LAMOST J020857.58+562107.4,True,-4.92435,spec-57328-HD020325N544136V01_sp12-150.fits
376.33,95.269242,22.169481,LAMOST J062104.61+221010.1,True,20.10302,spec-57799-HIP29425K201_sp06-106.fits
429.56,9.922347,58.743764,LAMOST J003941.36+584437.5,True,-13.0591,spec-57651-HD005305N571308V01_sp16-204.fits
193.56,45.115279,54.001422,LAMOST J030027.66+540005.1,True,-8.65767,spec-58423-TD030224N542147B01_sp04-133.fits
