source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmdec,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_g_n_obs,phot_g_mean_flux_over_error,phot_rp_n_obs,phot_rp_mean_flux_over_error,phot_bp_n_obs,phot_bp_mean_flux_over_error,phot_rp_mean_mag,ph_qual,tmass_oid,j_m,h_m,ks_m,j_ks_0,J-H,astrometric_sigma5d_max,astrometric_excess_noise,visibility_periods_used,ruwe,astrometric_gof_al,ipd_gof_harmonic_amplitude,ipd_frac_odd_win,ipd_frac_multi_peak,matched_transits_removed,astrometric_params_solved,astrometric_excess_noise_sig,phot_variable_flag,skiff_type,ra_skiff,dec_skiff,GroupSize_skiff,Sep_skiff,numeric_sp,std_sp,skiff_type_list,j_m-h_m,j_m-ks_m,j_m-phot_g_mean_mag,j_m-phot_bp_mean_mag,j_m-phot_rp_mean_mag,h_m-ks_m,h_m-phot_g_mean_mag,h_m-phot_bp_mean_mag,h_m-phot_rp_mean_mag,ks_m-phot_g_mean_mag,ks_m-phot_bp_mean_mag,ks_m-phot_rp_mean_mag,phot_g_mean_mag-phot_bp_mean_mag,phot_g_mean_mag-phot_rp_mean_mag,phot_bp_mean_mag-phot_rp_mean_mag,bp_rp,B2,B2_cut_split,B2_cut_probability,SNRG,RA_OBS,DEC_OBS,DESIG,HELIO,HELIO_RV,fits_name,GroupID,GroupSize,Separation,constain,Hgam_mu,Hgam_lambdaEff,SNR,mu-lambda_eff,Hgam_p-T
182757146280176896,80.75275576671525,34.13970677684905,0.013750629,0.0107411165,0.2695041757085171,0.016283438,16.550816,0.0176751074358105,-1.1493046076276852,0.017670115,0.013507286,11.647353,12.196965,244,4073.1853,30,3315.9624,30,1659.0234,10.9259205,AAA,390919829,9.875,9.539,9.36,-0.0568382499999997,0.3360000000000003,0.024757627,0.08834822,17,1.0500618,1.1292363000000003,0.03431835,0,0,0,31,12.598817999999994,NOT_AVAILABLE,,,,,,,,,0.3360000000000003,0.5150000000000006,-1.7723530000000007,-2.3219650000000005,-1.0509205,0.1790000000000002,-2.108353000000001,-2.657965000000001,-1.3869205000000004,-2.2873530000000013,-2.836965000000001,-1.5659205000000007,-0.5496119999999998,0.7214325000000006,1.2710445000000004,1.2710445000000004,,,0.788,45.23,80.75275,34.139708,LAMOST J052300.65+340822.9,True,-24.59715,spec-56948-HD052351N362354V_sp01-223.fits,1.0,2.0,0.0177378527788769,1.0,4341.87276240558,4341.97998046875,44.47453308105469,-0.10721806316996663,0.18276240558043355
182757146280176896,80.75275576671525,34.13970677684905,0.013750629,0.0107411165,0.2695041757085171,0.016283438,16.550816,0.0176751074358105,-1.1493046076276852,0.017670115,0.013507286,11.647353,12.196965,244,4073.1853,30,3315.9624,30,1659.0234,10.9259205,AAA,390919829,9.875,9.539,9.36,-0.0568382499999997,0.3360000000000003,0.024757627,0.08834822,17,1.0500618,1.1292363000000003,0.03431835,0,0,0,31,12.598817999999994,NOT_AVAILABLE,,,,,,,,,0.3360000000000003,0.5150000000000006,-1.7723530000000007,-2.3219650000000005,-1.0509205,0.1790000000000002,-2.108353000000001,-2.657965000000001,-1.3869205000000004,-2.2873530000000013,-2.836965000000001,-1.5659205000000007,-0.5496119999999998,0.7214325000000006,1.2710445000000004,1.2710445000000004,,,0.788,27.23,80.752783,34.139698,LAMOST J052300.66+340822.9,True,-4.7256,spec-56266-GAC080N32V1_sp09-083.fits,1.0,2.0,0.0870794155270111,1.0,4341.671645863935,4341.8447265625,26.56848907470703,-0.1730806985651725,0.01835413606477232
3345503236928666752,91.2693756061559,14.970996943601364,0.0129949795,0.01092705,0.526661778223876,0.014626658,36.00698,-0.831556862330459,-0.4540546002561746,0.01719859,0.011842333,11.584183,12.048579,264,2945.4458,30,2492.1575,30,1509.6106,10.935843,AAA,338055083,10.15,9.948,9.803,-0.0982957500000001,0.2019999999999999,0.02404001,0.08962633,17,0.88168687,-2.7568562,0.044593547,0,0,0,31,11.861585999999988,NOT_AVAILABLE,,,,,,,,,0.2019999999999999,0.3469999999999995,-1.434182999999999,-1.898579,-0.7858429999999998,0.1449999999999995,-1.636182999999999,-2.100579,-0.9878429999999998,-1.7811829999999986,-2.245579,-1.1328429999999994,-0.4643960000000007,0.6483399999999993,1.112736,1.112736,,,0.704,86.35,91.269378,14.97099,LAMOST J060504.65+145815.5,True,4.11646,spec-56292-GAC089N16V1_sp07-134.fits,2.0,3.0,0.0263469016553641,1.0,4342.1300659605795,4341.59326171875,83.90506744384766,0.5368042418294863,0.44006596057988645
3345503236928666752,91.2693756061559,14.970996943601364,0.0129949795,0.01092705,0.526661778223876,0.014626658,36.00698,-0.831556862330459,-0.4540546002561746,0.01719859,0.011842333,11.584183,12.048579,264,2945.4458,30,2492.1575,30,1509.6106,10.935843,AAA,338055083,10.15,9.948,9.803,-0.0982957500000001,0.2019999999999999,0.02404001,0.08962633,17,0.88168687,-2.7568562,0.044593547,0,0,0,31,11.861585999999988,NOT_AVAILABLE,,,,,,,,,0.2019999999999999,0.3469999999999995,-1.434182999999999,-1.898579,-0.7858429999999998,0.1449999999999995,-1.636182999999999,-2.100579,-0.9878429999999998,-1.7811829999999986,-2.245579,-1.1328429999999994,-0.4643960000000007,0.6483399999999993,1.112736,1.112736,,,0.704,89.33,91.269378,14.97099,LAMOST J060504.65+145815.5,True,6.22681,spec-56661-GAC092N13V3_sp16-089.fits,2.0,3.0,0.0263469016553641,1.0,4342.131170457236,4341.654296875,86.85989379882812,0.47687358223629417,0.44117045723669435
3345503236928666752,91.2693756061559,14.970996943601364,0.0129949795,0.01092705,0.526661778223876,0.014626658,36.00698,-0.831556862330459,-0.4540546002561746,0.01719859,0.011842333,11.584183,12.048579,264,2945.4458,30,2492.1575,30,1509.6106,10.935843,AAA,338055083,10.15,9.948,9.803,-0.0982957500000001,0.2019999999999999,0.02404001,0.08962633,17,0.88168687,-2.7568562,0.044593547,0,0,0,31,11.861585999999988,NOT_AVAILABLE,,,,,,,,,0.2019999999999999,0.3469999999999995,-1.434182999999999,-1.898579,-0.7858429999999998,0.1449999999999995,-1.636182999999999,-2.100579,-0.9878429999999998,-1.7811829999999986,-2.245579,-1.1328429999999994,-0.4643960000000007,0.6483399999999993,1.112736,1.112736,,,0.704,261.52,91.269383,14.970994,LAMOST J060504.65+145815.5,True,-28.27742,spec-58402-HD060953N145109V01_sp03-087.fits,2.0,3.0,0.0278122824559376,1.0,4341.926892212458,4341.7001953125,246.52392578125,0.2266968999583696,0.2368922124587698
3426573394640919552,91.82122802180275,25.09129625118343,0.018705454,0.015982347,0.3452192163743689,0.022372376,15.430602,-0.0248303461936174,-1.6129092010990038,0.02202425,0.015435413,10.814086,10.895597,230,1364.68,25,354.9541,26,480.14948,10.62988,AAA,366838254,10.415,10.443,10.377,-0.0712715000000012,-0.0280000000000004,0.030660488,0.12291738,17,0.9686811,-0.6364643599999997,0.059872214,0,0,1,31,18.535563,NOT_AVAILABLE,OB-,06 07 17.09,+25 05 28.5,,0.1784489157768554,,,,-0.0280000000000004,0.0379999999999984,-0.3990860000000005,-0.4805970000000012,-0.2148800000000008,0.0659999999999989,-0.371086,-0.4525970000000008,-0.1868800000000003,-0.437085999999999,-0.5185969999999998,-0.2528799999999993,-0.0815110000000007,0.1842059999999996,0.2657170000000004,0.2657170000000004,,,0.602,2.81,91.821257,25.091357,LAMOST J060717.10+250528.8,True,29.80358,spec-57740-HIP29425K201_sp16-066.fits,3.0,4.0,0.2382304148305152,1.0,4340.626376580212,4341.1884765625,2.965921640396118,-0.5620999822876911,1.063623419787291
3426573394640919552,91.82122802180275,25.09129625118343,0.018705454,0.015982347,0.3452192163743689,0.022372376,15.430602,-0.0248303461936174,-1.6129092010990038,0.02202425,0.015435413,10.814086,10.895597,230,1364.68,25,354.9541,26,480.14948,10.62988,AAA,366838254,10.415,10.443,10.377,-0.0712715000000012,-0.0280000000000004,0.030660488,0.12291738,17,0.9686811,-0.6364643599999997,0.059872214,0,0,1,31,18.535563,NOT_AVAILABLE,OB-,06 07 17.09,+25 05 28.5,,0.1784489157768554,,,,-0.0280000000000004,0.0379999999999984,-0.3990860000000005,-0.4805970000000012,-0.2148800000000008,0.0659999999999989,-0.371086,-0.4525970000000008,-0.1868800000000003,-0.437085999999999,-0.5185969999999998,-0.2528799999999993,-0.0815110000000007,0.1842059999999996,0.2657170000000004,0.2657170000000004,,,0.602,58.42,91.820638,25.090373,LAMOST J060716.95+250525.3,True,25.59255,spec-58169-HD061524N252001V01_sp10-014.fits,3.0,4.0,3.840236141358983,1.0,4341.871872545009,4341.59326171875,56.832420349121094,0.27861082625895506,0.18187254500935524
3426573394640919552,91.82122802180275,25.09129625118343,0.018705454,0.015982347,0.3452192163743689,0.022372376,15.430602,-0.0248303461936174,-1.6129092010990038,0.02202425,0.015435413,10.814086,10.895597,230,1364.68,25,354.9541,26,480.14948,10.62988,AAA,366838254,10.415,10.443,10.377,-0.0712715000000012,-0.0280000000000004,0.030660488,0.12291738,17,0.9686811,-0.6364643599999997,0.059872214,0,0,1,31,18.535563,NOT_AVAILABLE,OB-,06 07 17.09,+25 05 28.5,,0.1784489157768554,,,,-0.0280000000000004,0.0379999999999984,-0.3990860000000005,-0.4805970000000012,-0.2148800000000008,0.0659999999999989,-0.371086,-0.4525970000000008,-0.1868800000000003,-0.437085999999999,-0.5185969999999998,-0.2528799999999993,-0.0815110000000007,0.1842059999999996,0.2657170000000004,0.2657170000000004,,,0.602,155.3,91.821225,25.091303,LAMOST J060717.09+250528.6,True,18.39204,spec-56322-GAC089N24V2_sp13-198.fits,3.0,4.0,0.026217233375339,1.0,4341.946932838032,4341.5107421875,151.60520935058594,0.4361906505318984,0.2569328380322986
3426573394640919552,91.82122802180275,25.09129625118343,0.018705454,0.015982347,0.3452192163743689,0.022372376,15.430602,-0.0248303461936174,-1.6129092010990038,0.02202425,0.015435413,10.814086,10.895597,230,1364.68,25,354.9541,26,480.14948,10.62988,AAA,366838254,10.415,10.443,10.377,-0.0712715000000012,-0.0280000000000004,0.030660488,0.12291738,17,0.9686811,-0.6364643599999997,0.059872214,0,0,1,31,18.535563,NOT_AVAILABLE,OB-,06 07 17.09,+25 05 28.5,,0.1784489157768554,,,,-0.0280000000000004,0.0379999999999984,-0.3990860000000005,-0.4805970000000012,-0.2148800000000008,0.0659999999999989,-0.371086,-0.4525970000000008,-0.1868800000000003,-0.437085999999999,-0.5185969999999998,-0.2528799999999993,-0.0815110000000007,0.1842059999999996,0.2657170000000004,0.2657170000000004,,,0.602,65.13,91.821257,25.091357,LAMOST J060717.10+250528.8,True,12.18,spec-59230-TD061156N231225K01_sp16-065.fits,3.0,4.0,0.2382304148305152,1.0,4341.908364566014,4341.43701171875,65.62535095214844,0.47135284726391546,0.21836456601431564
3377507963127084800,94.3941562309256,23.26421280364981,0.0136422925,0.011840346,0.5813740557214664,0.015333397,37.915543,0.4668854783685652,-1.5471562586209215,0.017984098,0.012711048,10.826915,11.203496,204,4134.4565,24,2575.0645,22,1955.712,10.256419,AAA,361831519,9.576,9.395,9.289,-0.0974787499999991,0.1810000000000009,0.025753278,0.0626175099999999,14,1.0563792,1.1231557,0.047536414,0,0,1,31,6.093522500000006,NOT_AVAILABLE,OB,06 17 34.60,+23 15 51.2,,0.0483828169236471,,,,0.1810000000000009,0.2870000000000008,-1.250914999999999,-1.627495999999999,-0.6804189999999988,0.1059999999999998,-1.431915,-1.808496,-0.8614189999999997,-1.537915,-1.914496,-0.9674189999999996,-0.3765809999999998,0.5704960000000003,0.9470770000000002,0.9470770000000002,,,0.726,24.32,94.394153,23.265304,LAMOST J061734.59+231555.0,True,15.69144,spec-58875-HD062534N222728V01_sp14-213.fits,4.0,5.0,3.928321393847008,1.0,4342.611485586756,4341.64990234375,22.459205627441406,0.9615832430063165,0.9214855867567167
