source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmdec,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_g_n_obs,phot_g_mean_flux_over_error,phot_rp_n_obs,phot_rp_mean_flux_over_error,phot_bp_n_obs,phot_bp_mean_flux_over_error,phot_rp_mean_mag,ph_qual,tmass_oid,j_m,h_m,ks_m,j_ks_0,J-H,astrometric_sigma5d_max,astrometric_excess_noise,visibility_periods_used,ruwe,astrometric_gof_al,ipd_gof_harmonic_amplitude,ipd_frac_odd_win,ipd_frac_multi_peak,matched_transits_removed,astrometric_params_solved,astrometric_excess_noise_sig,phot_variable_flag,skiff_type,ra_skiff,dec_skiff,GroupSize_skiff,Sep_skiff,numeric_sp,std_sp,skiff_type_list,j_m-h_m,j_m-ks_m,j_m-phot_g_mean_mag,j_m-phot_bp_mean_mag,j_m-phot_rp_mean_mag,h_m-ks_m,h_m-phot_g_mean_mag,h_m-phot_bp_mean_mag,h_m-phot_rp_mean_mag,ks_m-phot_g_mean_mag,ks_m-phot_bp_mean_mag,ks_m-phot_rp_mean_mag,phot_g_mean_mag-phot_bp_mean_mag,phot_g_mean_mag-phot_rp_mean_mag,phot_bp_mean_mag-phot_rp_mean_mag,bp_rp,B2,B2_cut_split,B2_cut_probability,SNRG,RA_OBS,DEC_OBS,DESIG,HELIO,HELIO_RV,fits_name,GroupID,GroupSize,Separation,constain,Hgam_mu,Hgam_lambdaEff,SNR,mu-lambda_eff,Hgam_p-T,4471_S,4471_EW4,4471_sigma,4471_type,4471_BIC,4200_S,4200_EW4,4200_sigma,4200_type,4200_BIC,4542_S,4542_EW4,4542_sigma,4542_type,4542_BIC,4686_S,4686_EW4,4686_sigma,4686_type,4686_BIC,4387_S,4387_EW4,4387_sigma,4387_type,4387_BIC,4121_S,4121_EW4,4121_sigma,4121_type,4121_BIC,4144_S,4144_EW4,4144_sigma,4144_type,4144_BIC,4481_S,4481_EW4,4481_sigma,4481_type,4481_BIC,4226_S,4226_EW4,4226_sigma,4226_type,4226_BIC,4046_S,4046_EW4,4046_sigma,4046_type,4046_BIC,4383_S,4383_EW4,4383_sigma,4383_type,4383_BIC,4089_S,4089_EW4,4089_sigma,4089_type,4089_BIC,4552_S,4552_EW4,4552_sigma,4552_type,4552_BIC,4128_S,4128_EW4,4128_sigma,4128_type,4128_BIC,sp,sequence
3376778299723392512,95.26922387385412,22.16944980280929,0.018862356,0.017508266,0.5100309390900299,0.022184243,22.990683,0.2183270347817694,-2.356425608938144,0.02288246,0.018571345,11.083379,11.314441,189,1978.8694,20,1498.5502,20,864.9931,10.675333,AAA,358789299,10.248,10.082,9.873,0.0724052499999996,0.1659999999999986,0.03290552,0.10911947,14,0.90519005,-1.7409114,0.0594236,0,0,1,31,12.85084599999999,NOT_AVAILABLE,Be:,06 21 04.61,+22 10 10.1,2.0,0.0959080365537523,,,,0.1659999999999986,0.375,-0.8353790000000014,-1.066441000000001,-0.4273330000000008,0.2090000000000014,-1.001379,-1.2324409999999997,-0.5933329999999994,-1.2103790000000014,-1.441441000000001,-0.8023330000000009,-0.2310619999999996,0.4080460000000006,0.6391080000000002,0.6391080000000002,,,0.638,856.71,95.269242,22.169481,LAMOST J062104.61+221010.1,True,28.45725,spec-57724-HIP29425K201_sp06-106.fits,156.0,30.0,0.1275354706454313,1.0,4341.55307286799,4341.58935546875,844.18701171875,-0.0362826007603871,0.1369271320099869,7.230102907883908,1.0742463526005774,2.449860496625999,T,-220.9010340412817,1.2726655137935052,0.2270703662323902,21.55759451824295,E,-1035.9580818803333,0.46922187884577116,,,U,,-0.0781883150779637,,,U,,1.0204372221197915,,,U_bic,,0.1470762115443835,,,U,,0.7019659149070615,,,U,,1.2072021074576802,0.5944497964934192,4.570045598799949,T,-393.33130388754483,0.36246879256777964,,,U,,-0.044629491458081046,,,U,,-0.5073847864613391,,,U,,1.0090693264891648,0.2500031501397114,4.029740947977836,T,-916.1687219802536,0.22657869437728867,,,U,,-0.49030040700793787,,,U,,B0/B2,0.18843517898987097
3126813913216208512,101.04142378000591,2.3915744179344967,0.018932339,0.01804777,0.6149837641203861,0.022537926,27.286617,-1.2265558449026648,0.5411555822097751,0.023011904,0.019660939,9.045796,9.08983,246,1597.8828,26,317.77554,27,270.17892,8.873844,AAA,300538680,8.71,8.738,8.684,-0.0644489999999984,-0.0279999999999986,0.033421557,0.16467091,17,1.1621778,3.5081327,0.06186073,0,0,1,31,33.86895799999999,VARIABLE,,,,,,,,,-0.0279999999999986,0.0260000000000015,-0.3357959999999984,-0.3798299999999983,-0.1638439999999992,0.0540000000000002,-0.3077959999999997,-0.3518299999999996,-0.1358440000000005,-0.361796,-0.4058299999999999,-0.1898440000000008,-0.0440339999999999,0.1719519999999992,0.2159859999999991,0.2159859999999991,,,0.774,828.11,101.042172,2.391054,LAMOST J064410.12+022327.7,True,-14.98329,spec-57358-HD063739N014841V01_sp13-231.fits,,,3.279150202354182,1.0,4342.281208547673,4341.5244140625,811.5975341796875,0.756794485172577,0.5912085476729771,14.227592264259759,1.0482938910179156,1.7384430151615538,E,-116.89728322048344,-0.10950593121800538,,,U,,-0.3296663897422154,,,U,,0.002597190099526117,,,U,,1.0875433044282519,,,U_bic,,0.9424659094474989,,,U,,1.3182605553919848,,,U_bic,,1.5528405717271527,0.1495825018179394,1.3086268325448283,T,-87.22696469755242,23.470314963191417,0.5987946977356997,1.234156883359617,E,-75.2042992264945,0.03578941174373095,,,U,,-0.26543863620053965,,,U,,0.1955750715353265,,,U,,4.649180885880856,0.16964803227940778,1.3293616027101223,E,-102.95347989474745,-0.2952771239956972,,,U,,B0/B2,0.14577212790532568
3425138463244391680,93.64402634306808,22.909509814461725,0.27399102,0.23826526,0.4433617499408654,0.29384336,1.508837100000001,-1.0328626210343803,-1.524982552300555,0.33396813,0.2634371,9.958524,10.333131,220,161.65898,24,47.15774,25,79.68339,9.378501,AAA,360847942,8.319,8.078,7.83,-0.0431309999999993,0.2410000000000014,0.50542396,2.316818,17,18.584297,187.16174,0.16522755,0,0,2,31,6271.0327,NOT_AVAILABLE,OB-,06 14 34.57,+22 54 34.3,,0.0822433130377047,,,,0.2410000000000014,0.4890000000000006,-1.6395239999999998,-2.014130999999999,-1.0595009999999991,0.2479999999999993,-1.8805240000000008,-2.2551310000000004,-1.3005010000000006,-2.128524,-2.503131,-1.548501,-0.3746069999999992,0.5800230000000006,0.95463,0.95463,,,0.742,812.56,93.64398,22.90951,LAMOST J061434.55+225434.2,True,-24.60749,spec-58788-HIP29425K201_sp08-230.fits,187.0,9.0,0.1536766828276927,1.0,4341.827014065347,4341.61279296875,802.3744506835938,0.2142210965967024,0.1370140653471026,4.696842353735954,0.7905936532767535,2.4285860914333357,E,-173.92665272896411,0.7006188397120683,,,U,,-0.5015977710285783,,,U,,-0.6016693842776976,,,U,,1.1447398296928706,,,U_bic,,0.5621775059504976,,,U,,0.7558020053501933,,,U,,0.47462227155849085,,,U,,0.4275449786133655,,,U,,-0.46774637063650226,,,U,,-0.10267404495484225,,,U,,0.501995405708961,,,U,,1.2108296645871588,0.012766585551622554,1.3293616027101223,E,-95.4297143307826,-0.45333567367393446,,,U,,B0/B2,
3426118540422838272,91.39084613437262,23.482627962411616,0.015747167,0.012769407,0.1497219304841752,0.017860174,8.383004999999997,0.1140413200848482,-0.0777399003253553,0.020253198,0.014941369,11.723761,11.914474,223,2865.943,23,1622.661,23,1541.8586,11.374955,AAA,362433518,10.996,10.933,10.887,-0.1001902499999998,0.0630000000000006,0.028037935,0.1068625299999999,17,1.0001701,0.0353502779999992,0.04406877,0,12,0,31,14.871911000000011,NOT_AVAILABLE,OB,06 05 33.81,+23 28 57.6,2.0,0.1688144733931248,,,,0.0630000000000006,0.1089999999999999,-0.7277609999999992,-0.9184739999999998,-0.3789549999999995,0.0459999999999993,-0.7907609999999998,-0.9814740000000004,-0.4419550000000001,-0.8367609999999992,-1.0274739999999998,-0.4879549999999995,-0.1907130000000005,0.3488059999999997,0.5395190000000003,0.5395190000000003,,,0.706,792.49,91.390829,23.482611,LAMOST J060533.79+232857.3,True,28.93085,spec-57725-HIP29425K201_sp03-105.fits,20.0,26.0,0.0832444805745023,1.0,4342.353017088573,4341.52783203125,791.95068359375,0.8251850573233241,0.6630170885737243,5.250656776163696,0.9022673242288741,1.6346161236482601,E,-114.54641881008305,-0.039748236960800695,,,U,,0.5101791252504719,,,U,,0.9141546446961991,,,U,,1.150475969512532,,,U_bic,,1.0807130231240087,,,U_bic,,1.06937258633918,,,U_bic,,0.5405915411919469,,,U,,-0.6454236390531272,,,U,,-0.29761059155527825,,,U,,-0.13097860348632911,,,U,,0.3910644122301758,,,U,,2.758251378037311,0.05715643815081162,1.3293616027101223,E,-91.4829427090785,-0.5193553801672606,,,U,,B0/B2,
3372586102405306496,96.38164623451104,20.09734621699544,0.0155124115,0.013829142,0.2431560094054977,0.01766152,13.767558,0.2549585410229511,0.0148754461122146,0.02008523,0.015180802,10.945798,11.169903,240,737.597,26,242.18266,26,348.46204,10.541364,AAA,352918891,10.096,9.95,9.687,0.0943005000000005,0.1460000000000008,0.027987007,0.10552934,16,0.9698183,-0.5984385999999997,0.039036654,0,1,0,31,12.936858999999998,NOT_AVAILABLE,Be,06 25 31.60,+20 05 50.4,4.0,0.0832036136202827,,,,0.1460000000000008,0.4090000000000007,-0.8497979999999998,-1.0739029999999996,-0.4453639999999996,0.2629999999999999,-0.9957980000000006,-1.2199030000000004,-0.5913640000000004,-1.2587980000000003,-1.4829030000000003,-0.8543640000000003,-0.2241049999999997,0.4044340000000002,0.628539,0.628539,,,0.776,732.96,96.381646,20.097346,LAMOST J062531.59+200550.4,True,-27.81704,spec-59232-TD062610N184524H01_sp15-208.fits,108.0,8.0,0.0011130290767675,1.0,4337.49384948557,4341.5361328125,735.2196655273438,-4.042283326930374,4.1961505144299736,5.669946029170868,0.6947164836390803,2.267568053265648,E,-172.92931191861067,0.7441301930640838,,,U,,0.07169747529004579,,,U,,-0.12680114076596397,,,U,,2.4676018664742703,0.33446995086366127,1.470411674171317,E,-91.99922761837729,0.7296230828739526,,,U,,1.9369456750999985,0.38510461566467674,1.7460208000447341,E,-128.88800068790073,0.3098065016571169,,,U,,-0.419559461304207,,,U,,-0.46929194307435124,,,U,,0.054327440518370546,,,U,,0.4052296491342212,,,U,,0.6659017329176748,,,U,,-0.9325638688263318,,,U,,B0/B2,
2051930078899200768,292.7780060016944,38.32821535246807,0.023826333,0.027826333,0.4542735151775097,0.03001314,15.135820000000002,-4.952313486986318,-8.959146372010473,0.031298175,0.035113174,10.247632,10.1716795,410,1930.1298,48,2541.2659,48,1336.6743,10.364644,AAA,401594993,10.549,10.622,10.683,-0.0251580000000002,-0.0730000000000004,0.049545582,0.3265869,27,0.96611625,-0.9303756399999994,0.01696057,0,1,0,95,141.14969,NOT_AVAILABLE,,,,,,,,,-0.0730000000000004,-0.1340000000000003,0.3013680000000001,0.3773204999999998,0.1843559999999993,-0.0609999999999999,0.3743680000000005,0.4503205000000001,0.2573559999999996,0.4353680000000005,0.5113205000000001,0.3183559999999996,0.0759524999999996,-0.1170120000000007,-0.1929645000000004,-0.1929645000000004,,,0.696,701.37,292.77783,38.328288,LAMOST J193106.67+381941.8,True,-10.49256,spec-57918-KP192409N391242V04_sp06-022.fits,50.0,6.0,0.5616517216688446,1.0,4341.277385067482,4341.55322265625,717.984619140625,-0.2758375887678994,0.4126149325174992,23.701234028607974,1.53912970671372,2.0119945768583896,E,-123.39887066775913,-0.6115515921555347,,,U,,-0.059286776461661805,,,U,,-0.8121792521973278,,,U,,1.8796659119958137,,,U_bic,,0.8793901763527189,,,U,,1.703032783305732,,,U_bic,,3.3174597433879325,0.24766264448684822,1.4457165831569947,T,-85.42898343534539,0.10101764986267997,,,U,,0.010873798467816132,,,U,,-0.19593444939500382,,,U,,0.5198098598101307,,,U,,2.9210461825332175,0.09635973030000453,1.3293616027101223,E,-100.42004407321424,-0.28217784982379884,,,U,,B0/B2,0.17952997321128966
3370622610856485376,96.03456385837362,18.38957419459196,0.015801407,0.0141146025,0.2691318853471141,0.017268596,15.585047,-0.2020357803989996,-0.1847793668409261,0.021639746,0.015134845,10.326039,10.803767,203,2503.6504,19,5648.5596,19,1340.3075,9.657743,AAA,347990054,8.808,8.573,8.412,-0.0825097500000007,0.2349999999999994,0.030222885,0.083004005,16,1.0000715,0.03550757,0.041353308,0,0,0,31,7.660840500000006,NOT_AVAILABLE,,,,,,,,,0.2349999999999994,0.395999999999999,-1.518039,-1.9957670000000007,-0.8497430000000001,0.1609999999999996,-1.7530389999999991,-2.230767,-1.0847429999999996,-1.914038999999999,-2.391767,-1.2457429999999992,-0.4777280000000008,0.6682959999999998,1.1460240000000006,1.1460240000000006,,,0.886,723.34,96.034565,18.389575,LAMOST J062408.29+182322.4,True,-23.58313,spec-59253-TD062610N184524H01_sp04-137.fits,42.0,6.0,0.004859707276858,1.0,4342.297651449188,4341.54345703125,681.54296875,0.754194417938379,0.6076514491887792,0.536381426360098,,,U,,0.221805587119932,,,U,,0.02647264992927105,,,U,,-0.03674319454336339,,,U,,-0.000739066324640043,,,U,,0.14833788941101636,,,U,,-0.1672856891506321,,,U,,3.8183030670107456,0.15926776885790894,1.3086268325448283,E,-72.9823094693324,0.7946242275608318,,,U,,-0.26711393498942704,,,U,,-0.12096664960926208,,,U,,0.31439229760104775,,,U,,2.9628434353926054,0.1299923828615908,1.3293616027101223,E,-76.21910870944471,0.11874608559642816,,,U,,B9/A,
942784324072249856,96.08488226712772,35.979875786934095,0.019154686,0.01692895,0.5625724035787085,0.022001004,25.570307,-0.4548937160786199,-2.75535469910361,0.027206028,0.020856537,9.511898,9.576279,199,2016.7164,22,906.00006,23,615.23126,9.354113,AAA,395704031,9.006,8.878,8.731,0.0797755000000002,0.1280000000000001,0.0383706,0.1333900799999999,16,1.0613245,1.235751399999998,0.060618855,0,0,1,31,19.326097000000004,NOT_AVAILABLE,,,,,,,,,0.1280000000000001,0.2750000000000003,-0.5058980000000002,-0.5702789999999993,-0.3481129999999997,0.1470000000000002,-0.6338980000000003,-0.6982789999999994,-0.4761129999999998,-0.7808980000000005,-0.8452789999999997,-0.623113,-0.0643809999999991,0.1577850000000005,0.2221659999999996,0.2221659999999996,,,0.656,690.26,96.08485,35.979904,LAMOST J062420.36+355847.6,True,-20.02633,spec-56610-GAC094N35V2_sp13-160.fits,,,0.138390742575602,1.0,4341.823015022,4341.56298828125,668.4566040039062,0.2600267407497085,0.1330150220001087,8.712896562554691,0.9498572614705393,2.339103584487931,T,-188.8626277972659,0.7147625680621954,,,U,,-0.5939057849686369,,,U,,-0.21518409196882546,,,U,,0.9157878541443356,,,U,,0.2615980503455639,,,U,,0.7933101640974917,,,U,,2.4839112616577204,0.2549063260290896,1.8828995225528955,T,-131.17440093789375,-0.8127691439801328,,,U,,-0.049204252486196164,,,U,,-0.18602184703452188,,,U,,0.47664734807203823,,,U,,2.323033715148869,0.058514474241528114,1.6382296704730146,E,-142.79316530148276,-0.14133732676460153,,,U,,B3/B5,0.2791735713389175
3375360788715959552,93.00907553409628,21.288212725592736,0.22864625,0.19413576,0.5990281946816028,0.28250575,2.1204107000000008,1.4872545902760117,-1.8802869080724585,0.23937623,0.19514443,11.387063,11.909688,185,1431.9039,22,1432.5269,22,844.70966,10.668258,AAA,356308244,9.745,9.474,9.244,-0.0347657500000004,0.270999999999999,0.34119022,1.7494907,15,10.79867,113.04981,0.088851966,0,0,0,31,3207.4358,NOT_AVAILABLE,,,,,,,,,0.270999999999999,0.5009999999999994,-1.6420630000000005,-2.164688,-0.9232580000000006,0.2300000000000004,-1.9130629999999995,-2.435687999999999,-1.1942579999999998,-2.143063,-2.6656879999999994,-1.424258,-0.5226249999999997,0.7188049999999997,1.2414299999999994,1.2414299999999994,,,0.612,672.62,93.009069,21.288215,LAMOST J061202.17+211717.5,True,28.7063,spec-57725-HIP29425K201_sp01-087.fits,78.0,29.0,0.0233971463750314,1.0,4341.778115296852,4341.69189453125,651.802490234375,0.0862207656018654,0.0881152968522656,6.57910312891055,0.7739301356248438,1.8069609788349688,E,-134.64200714699308,0.6787849128872491,,,U,,0.10326586280235447,,,U,,0.12649539455847492,,,U,,1.4097334398566548,,,U_bic,,0.4302670224620878,,,U,,0.782448890886515,,,U,,1.2699254120918892,0.17316936043245837,1.3190250230172371,T,-88.55796979398797,-0.1995501241561836,,,U,,-0.5811195634378816,,,U,,-0.02057226776027263,,,U,,0.7864826417245658,,,U,,-0.09430514663655525,,,U,,-0.11922024124362388,,,U,,B0/B2,0.20866063007644708
3377723772345285760,100.9946804233065,19.83954058486699,0.014560111,0.013000605,0.4599270165060041,0.0156555,29.377983,-0.9384470359256007,-1.8821010532073992,0.019624513,0.01580307,9.451637,9.747751,223,4469.031,25,2532.4243,24,1847.8716,8.975247,AAA,352180154,8.386,8.173,8.042,-0.0084092500000005,0.2129999999999992,0.027572049,0.091174744,17,1.1120738,2.351132,0.09007324,0,0,0,31,9.347857000000005,NOT_AVAILABLE,,,,,,,,,0.2129999999999992,0.3439999999999994,-1.0656370000000006,-1.361751,-0.5892470000000003,0.1310000000000002,-1.2786369999999998,-1.5747509999999991,-0.8022469999999995,-1.409637,-1.7057509999999994,-0.9332469999999996,-0.2961139999999993,0.4763900000000003,0.7725039999999996,0.7725039999999996,,,0.78,649.44,100.994689,19.838678,LAMOST J064358.72+195019.2,True,17.94582,spec-57060-HD064747N214129V01_sp02-025.fits,,,3.1054413388880024,1.0,4342.31171749744,4341.7900390625,642.1162109375,0.5216784349395311,0.6217174974399313,1.7745262751689874,0.2602536580587406,1.3057064423807023,E,-77.02731908236952,1.122459246727846,,,U_bic,,-0.1111178596125387,,,U,,-0.2867798742775561,,,U,,0.5666375938840958,,,U,,0.06927310296994776,,,U,,0.053241152993668245,,,U,,2.1267119852260508,,,U_bic,,2.0130661045460823,,,U_bic,,0.7672459105321399,,,U,,0.2609933517283304,,,U,,0.3771069068787114,,,U,,1.9555829755399667,,,U_bic,,0.2861685144461804,,,U,,FGK,
