source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmdec,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_g_n_obs,phot_g_mean_flux_over_error,phot_rp_n_obs,phot_rp_mean_flux_over_error,phot_bp_n_obs,phot_bp_mean_flux_over_error,phot_rp_mean_mag,ph_qual,tmass_oid,j_m,h_m,ks_m,j_ks_0,J-H,astrometric_sigma5d_max,astrometric_excess_noise,visibility_periods_used,ruwe,astrometric_gof_al,ipd_gof_harmonic_amplitude,ipd_frac_odd_win,ipd_frac_multi_peak,matched_transits_removed,astrometric_params_solved,astrometric_excess_noise_sig,phot_variable_flag,skiff_type,ra_skiff,dec_skiff,GroupSize_skiff,Sep_skiff,numeric_sp,std_sp,skiff_type_list,j_m-h_m,j_m-ks_m,j_m-phot_g_mean_mag,j_m-phot_bp_mean_mag,j_m-phot_rp_mean_mag,h_m-ks_m,h_m-phot_g_mean_mag,h_m-phot_bp_mean_mag,h_m-phot_rp_mean_mag,ks_m-phot_g_mean_mag,ks_m-phot_bp_mean_mag,ks_m-phot_rp_mean_mag,phot_g_mean_mag-phot_bp_mean_mag,phot_g_mean_mag-phot_rp_mean_mag,phot_bp_mean_mag-phot_rp_mean_mag,bp_rp,B2,B2_cut_split,B2_cut_probability,SNRG,RA_OBS,DEC_OBS,DESIG,HELIO,HELIO_RV,fits_name,GroupID,GroupSize,Separation,constain,Hgam_mu,Hgam_lambdaEff,SNR,mu-lambda_eff,Hgam_p-T,4481_EW3,4481_sigma,4481_significancia,4471_EW3,4471_sigma,4471_significancia,4542_EW3,4542_sigma,4542_significancia,4542/4471
454837075308505088,40.96569157074684,56.99143034418231,0.010399872,0.013687788,0.3825803773103017,0.015624404,24.486078,0.1441947823185025,-1.4134980719807988,0.015434001,0.021468543,10.032559,10.355489,348,418.10223,40,143.18906,40,140.64304,9.533359,AAA,444936803,8.999,8.846,8.79,-0.1016397499999985,0.1530000000000004,0.031407293,0.08971166,20,1.014653,0.3988212000000004,0.008686947,0,0,0,31,9.528819,VARIABLE,OB-,02 43 51.76,+56 59 29.2,2.0,0.0704420710649367,,,,0.1530000000000004,0.2090000000000014,-1.0335589999999986,-1.3564889999999998,-0.5343590000000003,0.0560000000000009,-1.186558999999999,-1.5094890000000003,-0.6873590000000007,-1.242559,-1.5654890000000012,-0.7433590000000017,-0.3229300000000012,0.4991999999999983,0.8221299999999996,0.8221299999999996,,,0.906,147.05,40.96529,56.992669,LAMOST J024351.66+565933.6,True,-20.22538,spec-59111-HD023050N553254V01_sp12-114.fits,,,4.528169275942728,1.0,4340.648694358669,4341.84619140625,140.61163330078125,-1.197497047581237,1.0413056413308368,undetected,undetected,undetected,0.8244273344693794,2.4930375429925165,8.86866213415285,0.1615712804541428,1.3264412125459981,4.366005645473939,0.195980013882162
3113588231452301824,102.82788234741162,0.4536018468036603,0.011159551,0.010590294,0.1671942205759601,0.012814044,13.047732,-0.1686863987966247,0.5278593392152309,0.014918955,0.013207362,11.965156,12.300442,222,2067.452,23,1903.7267,25,646.0412,11.435218,AAA,294670075,10.79,10.645,10.576,-0.1332890000000013,0.1449999999999995,0.020884393,0.06612926,17,0.9441159,-1.1571622999999995,0.03332377,0,2,0,31,6.158989999999989,NOT_AVAILABLE,,,,,,,,,0.1449999999999995,0.2139999999999986,-1.1751560000000012,-1.5104420000000012,-0.6452180000000016,0.068999999999999,-1.3201560000000008,-1.6554420000000007,-0.7902180000000012,-1.3891559999999998,-1.7244419999999998,-0.8592180000000003,-0.335286,0.5299379999999996,0.8652239999999995,0.8652239999999995,,,0.796,72.17,102.827888,0.453592,LAMOST J065118.69+002712.9,True,-2.44843,spec-58848-HD070013N000500V02_sp14-247.fits,,,0.0408737625554711,1.0,4342.5732739025725,4341.61669921875,62.85564422607422,0.9565746838225095,0.8832739025729097,0.09037505453592129,1.3374844441875515,1.1580416875718076,0.7140831932901192,1.814963584035502,5.584314642138329,0.4070893575448464,1.6937848227596384,4.794618082432934,0.5700867369097333
460289244232159360,45.60592366355185,57.2812887194017,0.011733464,0.013068013,0.3684804452179891,0.01637807,22.498405,0.8069834797729936,-1.30209115020551,0.016768796,0.018852878,11.270274,11.864971,380,2031.8069,42,985.6299,42,790.2212,10.51792,AAA,445576058,9.634,9.356,9.231,-0.1068184999999997,0.2780000000000004,0.029618625,0.11634219,21,0.9979096,-0.0304722000000001,0.011907114,0,2,1,31,20.272189999999995,VARIABLE,OB,03 02 25.40,+57 16 52.7,2.0,0.1859259981569258,,,,0.2780000000000004,0.4030000000000004,-1.6362740000000002,-2.230971,-0.8839199999999998,0.125,-1.9142740000000007,-2.5089710000000007,-1.1619200000000005,-2.0392740000000007,-2.6339710000000007,-1.2869200000000005,-0.594697,0.7523540000000004,1.3470510000000004,1.3470510000000004,,,0.862,144.91,45.605912,57.281307,LAMOST J030225.41+571652.7,True,-15.2736,spec-59135-HD030004N551117V02_sp11-193.fits,,,0.0696136851089885,1.0,4341.317357974212,4341.65185546875,135.41970825195312,-0.3344974945375725,0.3726420257871723,0.8112513405515237,4.999999997309328,1.0389944983669368,0.7692872512310153,3.1958640100926132,4.800163680467773,0.4648972707282495,3.0974977620294264,3.8313558721503975,0.6043220786309922
195168712708586880,79.59481809402355,41.93499774990981,0.015608537,0.010513199,0.2327636355869364,0.019108789,12.180972999999998,-0.013145996107732,-0.5233136894733663,0.021125384,0.016104229,10.063088,10.280383,312,2715.4846,32,4754.14,34,1885.4783,9.673871,AAA,410205315,9.272,9.15,9.108,-0.0747720000000002,0.1219999999999998,0.030185826,0.09390824,15,0.9538025,-1.0736550000000005,0.0304687,0,0,1,31,11.649792999999988,NOT_AVAILABLE,B0,05 18 22.76,+41 56 06.0,4.0,0.0416077850042725,,,,0.1219999999999998,0.1639999999999997,-0.7910880000000002,-1.0083830000000005,-0.4018709999999998,0.0419999999999998,-0.913088,-1.130383,-0.5238709999999998,-0.955088,-1.172383,-0.5658709999999996,-0.217295,0.3892170000000003,0.6065120000000004,0.6065120000000004,,,0.884,157.26,79.594814,41.935024,LAMOST J051822.75+415606.0,True,-22.4971,spec-56587-GAC079N41V2_sp15-192.fits,84.0,2.0,0.0951342253495313,1.0,4341.311407364592,4341.23046875,142.99679565429688,0.08093861459201435,0.3785926354075855,undetected,undetected,undetected,0.511781095429149,2.2394596284276838,8.021120928312458,0.6684952393265291,2.0943450873572753,13.029051576828705,1.3062132331518987
3119852016046426112,99.71405913201822,0.8361915695785191,0.011972049,0.011191695,0.135085076999376,0.013256673,10.189968,-0.1648283820729097,0.4308697691313552,0.014903873,0.012714301,11.950775,12.478404,231,2709.4836,26,858.0413,26,678.5809,11.243762,AAA,295832935,10.454,10.15,9.971,-0.0119437499999994,0.3040000000000002,0.021104246,0.0788522,16,1.1127671,2.3858798,0.013178049,0,0,0,31,8.621882999999997,NOT_AVAILABLE,,,,,,,,,0.3040000000000002,0.4830000000000005,-1.4967749999999995,-2.0244039999999988,-0.7897619999999996,0.1790000000000002,-1.8007749999999998,-2.328403999999999,-1.093762,-1.979775,-2.507404,-1.2727620000000002,-0.5276289999999992,0.7070129999999999,1.2346419999999991,1.2346419999999991,,,0.64,60.7,99.714061,0.836182,LAMOST J063851.37+005010.2,True,-27.33927,spec-59134-HD064550S004259V01_sp16-204.fits,,,0.0351005438429374,1.0,4342.55910062118,4341.63623046875,55.38439178466797,0.9228701524298231,0.8691006211802232,undetected,undetected,undetected,-0.03654055240544833,2.146668422472245,1.819870926297284,0.721946434143475,1.7836167418391033,9.438223282802992,19.75740339480555
193772676539511680,81.81039660551603,39.852330699297774,0.024346912,0.018456135,0.1803626996768859,0.027511565,6.555886699999999,-0.0356824682172263,-0.5650975313556175,0.03018248,0.022462137,10.630794,10.870661,207,2020.3236,23,2236.1248,23,1361.018,10.161258,AAA,405280196,9.673,9.54,9.481,-0.0954484999999998,0.1330000000000009,0.043240845,0.15857626,14,1.1514237,2.8783927,0.050630957,0,90,0,95,29.23008200000001,NOT_AVAILABLE,O4V((f)),05 27 14.50,+39 51 08.4,4.0,0.0562483571060692,,,,0.1330000000000009,0.1920000000000001,-0.9577939999999998,-1.197661,-0.4882580000000001,0.0589999999999992,-1.0907940000000007,-1.330661000000001,-0.621258000000001,-1.149794,-1.3896610000000005,-0.6802580000000003,-0.2398670000000002,0.4695359999999997,0.709403,0.709403,,,0.776,321.01,81.810394,39.852325,LAMOST J052714.49+395108.3,True,-23.33555,spec-56587-GAC079N41V1_sp07-193.fits,179.0,2.0,0.0217444169534147,1.0,4341.287842840303,4341.62158203125,312.2342529296875,-0.33373919094719895,0.40215715969679877,undetected,undetected,undetected,0.03385477168391485,1.4644619808307484,2.3784154254815535,0.8764251518704289,1.7502334430049211,19.147061140711394,25.887787991990443
